V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q21,Q10,Q12,Q16_1,Q20,Q21_1,Q19,Q19,Q14,Q8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,DO-BR-FL_8,DO-Q-Q4,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Participant ID (This is added by the researcher),Did you ever work or interact with social robots?,Gender,What is your age?-AGE,Is English your first language?,"If English is not your native language, how old were you when you / learned it?-AGE","When you learned English, what country did you live in?","What is the highest degree or level of school you have / completed? If / currently enrolled, highest...","If Student, what do you study?",Any additional information you want to tell us?,"I see myself as:-Extroverted, enthusiastic","I see myself as:-Critical, quarrelsome","I see myself as:-Dependable, self-disciplined","I see myself as:-Anxious, easily upset","I see myself as:-Open to new experiences, complex","I see myself as:-Reserved, quiet","I see myself as:-Sympathetic, warm","I see myself as:-Disorganized, careless","I see myself as:-Calm, emotionally stable","I see myself as:-Conventional, uncreative",Display Order: Block Randomizer FL_8,Display Order: I see myself as:,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1NejAKHSQchRyy2,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-03 09:53:46,2016-02-03 12:01:23,1,040758,Yes,Male,23,YES,,,Bachelor’s degree,Anthropology,,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree strongly,Disagree moderately,,1|8|10|7|6|2|5|4|9|3,-43.53190612793,172.63159179688,-1,
R_3lrxpwjsxBztSri,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-03 13:51:32,2016-02-03 14:11:19,1,978371,No,Male,26,YES,,New Zealand,"High school graduate, diploma or the equivalent",,,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,,3|2|9|5|7|4|1|8|10|6,-43.53190612793,172.63159179688,-1,
R_QibgrYQ5DD5OWyd,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-04 12:55:26,2016-02-04 13:09:49,1,384698,No,Male,21,YES,,New Zealand,"High school graduate, diploma or the equivalent",Engineering (Chemical and Process),,Disagree a little,Disagree a little,Agree moderately,Disagree a little,Agree moderately,Agree moderately,Agree a little,Disagree strongly,Agree a little,Agree a little,,2|9|10|3|6|5|7|1|8|4,-43.53190612793,172.63159179688,-1,
R_3QKoKq0R8WnjySA,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-04 13:44:41,2016-02-04 14:45:37,1,607029,No,Female,23,YES,,New Zealand,Bachelor’s degree,Biology,,Agree moderately,Disagree a little,Agree moderately,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Agree a little,Disagree a little,,9|3|2|10|4|8|1|6|7|5,-43.53190612793,172.63159179688,-1,
R_2R8puwgtNZAFJZZ,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-04 15:09:57,2016-02-04 15:49:48,1,116583,No,Female,23,YES,,nz,Bachelor’s degree,chemistry,,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,,7|1|4|9|3|8|2|6|5|10,-43.53190612793,172.63159179688,-1,
R_2OZ8jGtNzfzcyHp,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-04 15:56:06,2016-02-04 16:11:43,1,627947,No,Male,19,YES,,,"Some college credit, no degree",Computer Science,,Agree a little,Agree a little,Agree moderately,Agree a little,Agree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,,1|5|7|10|4|3|2|6|9|8,-43.53190612793,172.63159179688,-1,
R_ebSjNp8npef2cm1,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-05 12:09:06,2016-02-05 12:23:37,1,755289,No,Male,25,YES,,,Bachelor’s degree,Mathematics and Behavioural Psychology,"Haven't done anything with social robots, have done two of the gambling against robot experiments if relevant.",Disagree strongly,Agree strongly,Disagree a little,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,Disagree moderately,Agree moderately,Disagree moderately,,10|3|2|5|9|1|7|8|4|6,-43.53190612793,172.63159179688,-1,
R_bvaHwgVTeFdnrwJ,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-05 12:49:32,2016-02-05 13:36:27,1,985648,No,Male,29,YES,,New Zealand,"High school graduate, diploma or the equivalent",Mechanical Engineering,Nope,Disagree a little,Neither agree nor disagree,Agree moderately,Disagree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree moderately,,6|10|8|7|3|5|2|1|9|4,-43.53190612793,172.63159179688,-1,
R_3iVltbqLRRnWjWi,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-05 14:12:38,2016-02-05 14:26:42,1,395550,No,Male,20,YES,,New Zealand,"High school graduate, diploma or the equivalent",,,Neither agree nor disagree,Agree moderately,Agree moderately,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,,8|1|3|9|6|4|7|5|10|2,-43.53190612793,172.63159179688,-1,
R_1KuMGcsAxiAsusv,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-09 14:55:24,2016-02-09 15:36:11,1,149537,Yes,Male,30,YES,,New Zealand,Bachelor’s degree,"Political Science, Philosophy, Music",,Agree moderately,Agree a little,Disagree a little,Agree a little,Agree strongly,Agree moderately,Agree a little,Agree moderately,Disagree a little,Disagree strongly,,4|6|9|10|8|7|5|3|2|1,-43.53190612793,172.63159179688,-1,
