V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q21,Q10,Q12,Q16_1,Q20,Q21_1,Q19,Q19,Q14,Q8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Participant ID (This is added by the researcher),Did you ever work or interact with social robots?,Gender,What is your age?-AGE,Is English your first language?,"If English is not your native language, how old were you when you / learned it?-AGE","When you learned English, what country did you live in?","What is the highest degree or level of school you have / completed? If / currently enrolled, highest...","If Student, what do you study?",Any additional information you want to tell us?,"I see myself as:-Extroverted, enthusiastic","I see myself as:-Critical, quarrelsome","I see myself as:-Dependable, self-disciplined","I see myself as:-Anxious, easily upset","I see myself as:-Open to new experiences, complex","I see myself as:-Reserved, quiet","I see myself as:-Sympathetic, warm","I see myself as:-Disorganized, careless","I see myself as:-Calm, emotionally stable","I see myself as:-Conventional, uncreative",LocationLatitude,LocationLongitude,LocationAccuracy,
R_6fcLg0PjrtLgi89,Default Response Set,Anonymous,,,202.36.179.107,0,2016-02-29 08:50:01,2016-02-29 09:19:17,1,780407,2,3,21,1,,New Zealand,4,Civil Engineering,,6,1,4,3,6,2,7,3,5,3,-43.533294677734,172.63330078125,-1,
R_2Pnbv2N87isfjIE,Default Response Set,Anonymous,,,202.36.179.107,0,2016-02-29 11:00:07,2016-02-29 11:16:40,1,104915,2,3,40,1,,New Zealand,5,Computer Engineering,,5,5,6,6,6,6,6,2,5,2,-43.533294677734,172.63330078125,-1,
R_1Q6M8gUdby15BV5,Default Response Set,Anonymous,,,202.36.179.107,0,2016-02-29 11:54:33,2016-02-29 12:12:09,1,370800,2,3,18,1,,United states of ameica,3,Engineering,,2,5,6,2,6,6,6,2,6,2,-43.533294677734,172.63330078125,-1,
R_2tlKRsisr9Ez28K,Default Response Set,Anonymous,,,202.36.179.107,0,2016-02-29 12:49:44,2016-02-29 15:07:24,1,863623,2,2,30,1,,,7,Maori and Indigenous Studies,,5,3,7,5,7,5,7,5,6,1,-43.533294677734,172.63330078125,-1,
R_3PuWnmunNs9G8Wn,Default Response Set,Anonymous,,,202.36.179.107,0,2016-02-29 15:55:55,2016-02-29 16:09:06,1,987737,2,3,22,1,,,7,Mechanical Engineering,,4,5,5,2,6,4,5,2,4,3,-43.533294677734,172.63330078125,-1,
R_2DN7tZb232gEcun,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-01 07:55:27,2016-03-01 08:16:08,1,984191,2,2,20,1,,New Zealand,7,Fine Arts majoring in painting,,5,5,6,2,7,3,5,3,6,1,-43.533294677734,172.63330078125,-1,
R_25EI3LshD8hIHe5,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-01 08:52:30,2016-03-01 09:40:50,1,181542,2,2,35,1,,NZ,7,Human Interface Technology,,5,4,6,2,5,3,5,1,5,3,-43.533294677734,172.63330078125,-1,
R_1LYEeymr2oDJQtv,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-01 10:02:26,2016-03-01 10:24:38,1,667888,1,3,23,1,,England and New Zealand,7,,,5,5,3,3,5,5,6,6,6,1,-43.533294677734,172.63330078125,-1,
R_1CqANHfG6k6uB3S,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-01 12:03:53,2016-03-01 13:19:34,1,057248,2,2,19,1,,New Zealand,3,Linguistics and French,,3,5,4,5,7,5,6,6,7,2,-43.533294677734,172.63330078125,-1,
