V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q21,Q10,Q12,Q16_1,Q20,Q21_1,Q19,Q19,Q14,Q8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Participant ID (This is added by the researcher),Did you ever work or interact with social robots?,Gender,What is your age?-AGE,Is English your first language?,"If English is not your native language, how old were you when you / learned it?-AGE","When you learned English, what country did you live in?","What is the highest degree or level of school you have / completed? If / currently enrolled, highest...","If Student, what do you study?",Any additional information you want to tell us?,"I see myself as:-Extroverted, enthusiastic","I see myself as:-Critical, quarrelsome","I see myself as:-Dependable, self-disciplined","I see myself as:-Anxious, easily upset","I see myself as:-Open to new experiences, complex","I see myself as:-Reserved, quiet","I see myself as:-Sympathetic, warm","I see myself as:-Disorganized, careless","I see myself as:-Calm, emotionally stable","I see myself as:-Conventional, uncreative",LocationLatitude,LocationLongitude,LocationAccuracy,
R_1NejAKHSQchRyy2,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-03 09:53:46,2016-02-03 12:01:23,1,040758,1,3,23,1,,,7,Anthropology,,6,4,4,2,7,6,7,5,7,2,-43.53190612793,172.63159179688,-1,
R_3lrxpwjsxBztSri,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-03 13:51:32,2016-02-03 14:11:19,1,978371,2,3,26,1,,New Zealand,3,,,7,4,5,4,7,2,7,2,6,1,-43.53190612793,172.63159179688,-1,
R_QibgrYQ5DD5OWyd,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-04 12:55:26,2016-02-04 13:09:49,1,384698,2,3,21,1,,New Zealand,3,Engineering (Chemical and Process),,3,3,6,3,6,6,5,1,5,5,-43.53190612793,172.63159179688,-1,
R_3QKoKq0R8WnjySA,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-04 13:44:41,2016-02-04 14:45:37,1,607029,2,2,23,1,,New Zealand,7,Biology,,6,3,6,4,5,4,5,2,5,3,-43.53190612793,172.63159179688,-1,
R_2R8puwgtNZAFJZZ,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-04 15:09:57,2016-02-04 15:49:48,1,116583,2,2,23,1,,nz,7,chemistry,,1,1,1,1,1,1,1,1,1,1,-43.53190612793,172.63159179688,-1,
R_2OZ8jGtNzfzcyHp,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-04 15:56:06,2016-02-04 16:11:43,1,627947,2,3,19,1,,,4,Computer Science,,5,5,6,5,6,5,6,4,5,5,-43.53190612793,172.63159179688,-1,
R_ebSjNp8npef2cm1,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-05 12:09:06,2016-02-05 12:23:37,1,755289,2,3,25,1,,,7,Mathematics and Behavioural Psychology,"Haven't done anything with social robots, have done two of the gambling against robot experiments if relevant.",1,7,3,3,2,6,2,2,6,2,-43.53190612793,172.63159179688,-1,
R_bvaHwgVTeFdnrwJ,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-05 12:49:32,2016-02-05 13:36:27,1,985648,2,3,29,1,,New Zealand,3,Mechanical Engineering,Nope,3,4,6,1,5,5,5,5,6,2,-43.53190612793,172.63159179688,-1,
R_3iVltbqLRRnWjWi,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-05 14:12:38,2016-02-05 14:26:42,1,395550,2,3,20,1,,New Zealand,3,,,4,6,6,4,7,4,4,4,5,4,-43.53190612793,172.63159179688,-1,
