"extroversion","agreeableness","conscientiousness","emotionalStable","openness","pId","interactedWithRobot","gender","age","englishFirst","education","study"
null,null,null,null,null,"Participant ID (This is added by the researcher)","Did you ever work or interact with social robots?","Gender","What is your age?-AGE","Is English your first language?","What is the highest degree or level of school you have / completed? If / currently enrolled, highest...","If Student, what do you study?"
4.5,4,2.5,1,6,"149771","1","3","23","1","3","BA in Anthropology 3rd year"
3.5,5,6,5.5,4.5,"702270","1","2","18","1","4","Software Engineering"
3,4,5.5,2.5,5.5,"607196","2","3","26","","8",""
3.5,1.5,6.5,4,5.5,"519903","2","2","20","1","3","Commerce majoring in Accounting, Finance, and Taxation"
2.5,3,6,4,4,"980973","1","2","21","1","7","Speech and Language Therapy"
3,3,4,2,5.5,"806611","1","3","36","2","10",""
4,3.5,6,2.5,5.5,"907596","2","2","19","1","3","BSc, majoring in Pschology"
4,3.5,4.5,3.5,5,"819229","1","2","19","1","3","Commerce"
4,1.5,5.5,3.5,6,"409561","1","3","19","1","3","Computer Science"
5,1.5,2.5,1,4.5,"78253","2","3","19","1","3","Engineering"
5,3.5,5,3.5,5.5,"887007","2","2","18","1","4","Psychology and Linguistics"
4.5,1,6,4.5,6,"25781","2","2","21","1","7","Anthropology & History"
2.5,3.5,5,4.5,4,"652815","2","3","27","1","4","Bachelor of Arts-Major Education, Minor Japanese"
6,3,5.5,2.5,5.5,"216808","2","2","30","1","8","Psychology"
5.5,2,6,3.5,6,"67154","2","2","24","1","7","PhD in Psychology"
6,3.5,3.5,5.5,6,"655590","2","3","32","2","10",""
2.5,3,6,3.5,6,"310553","2","2","20","1","4","Geography and Psychology"
3.5,1.5,3,5,6.5,"429131","2","3","35","1","8","PhD Linguistics"
