"extroversion","agreeableness","conscientiousness","emotionalStable","openness","pId","interactedWithRobot","gender","age","englishFirst","education","study"
null,null,null,null,null,"Participant ID (This is added by the researcher)","Did you ever work or interact with social robots?","Gender","What is your age?-AGE","Is English your first language?","What is the highest degree or level of school you have / completed? If / currently enrolled, highest...","If Student, what do you study?"
4,2.5,3.5,1.5,6.5,"40758","1","3","23","1","7","Anthropology"
6.5,2.5,5.5,3,7,"978371","2","3","26","1","3",""
2.5,3,6.5,3,4.5,"384698","2","3","21","1","3","Engineering (Chemical and Process)"
5,3,6,3.5,5,"607029","2","2","23","1","7","Biology"
4,4,4,4,4,"116583","2","2","23","1","7","chemistry"
4,3.5,5,4,4.5,"627947","2","3","19","1","4","Computer Science"
1.5,6.5,4.5,2.5,4,"755289","2","3","25","1","7","Mathematics and Behavioural Psychology"
3,3.5,4.5,1.5,5.5,"985648","2","3","29","1","3","Mechanical Engineering"
4,5,5,3.5,5.5,"395550","2","3","20","1","3",""
4,4,2.5,5,7,"149537","1","3","30","1","7","Political Science, Philosophy, Music"
4.5,4,3,2.5,6,"490503","2","3","23","1","3","Civil Engineering"
2,2.5,5.5,2,5.5,"896142","2","3","22","1","3","BSc in Astronomy and Physics"
2,3.5,4.5,2,6,"644409","2","3","24","1","4","Computer Science"
4,4,6.5,4,6,"248419","2","2","19","1","3","Software Engineering"
5.5,3.5,4.5,2,5.5,"806487","2","2","20","1","4","Psychology, Classics, Japanese"
2,1.5,5,4.5,5,"184279","2","3","19","1","4","Software Engineering"
4,4.5,5,4.5,6,"936626","2","2","28","1","7",""
6.5,3,5.5,3,5.5,"13925","2","3","25","1","8","PhD"
3,2.5,4.5,5,4,"400975","2","2","20","1","3","Bachelor of Science majoring in financial engineering"
4.5,4,5,2,5,"234034","2","3","18","1","3","engineering"
