"imgword","img"
"belly","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_22YLlN1hnUpTfNj"" style=""width: 64px; height: 64px;"" />"
"runners","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_4HP88QrqXS5fWDj"" style=""width: 64px; height: 64px;"">"
"drink","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_0BCt8e66dsVzXcV"" style=""width: 64px; height: 64px;"">"
"road","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_3WQjRZhRzatglYp"" style=""width: 64px; height: 64px;"">"
"alligator","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_02pFlLVqk5Tr59b"" style=""width: 64px; height: 64px;"">"
"car","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_9Adkr2i6xnMzTWl"" style=""width: 64px; height: 64px;"">"
"peach","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_aV7jRwm0OQGdsnb"" style=""width: 64px; height: 64px;"">"
"soldier","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_77k4NVDO9L8xPaR"" style=""width: 64px; height: 65px;"">"
"people","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_4MDPE7XqYyMeaUZ"" style=""width: 64px; height: 64px;"">"
"baby","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_0NC1TlYdtpI0PcN"" style=""width: 64px; height: 64px;"">"
"sphere","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_2cpqqtQ2DtvSQBv"" style=""width: 64px; height: 64px;"">"
"thief","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_9FGTx2PIh0OoCRT"" style=""width: 64px; height: 64px;"">"
"flag","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_9KB1BkHyTvunBnn"" style=""width: 64px; height: 64px;"">"
"barrels","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_2sDznfoT8eBBgxv"" style=""width: 64px; height: 64px;"" />"
"cave","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_3t0Vx2ryHI08Gnb"" style=""width: 64px; height: 64px;"">"
"sink","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_3Vso3TNSyQqC7E9"" style=""width: 64px; height: 64px;"">"
"knife","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_eKXtC2iA68naBNP"" style=""width: 64px; height: 64px;"">"
"beach","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_6XKE4MUjlLFuTg9"" style=""width: 64px; height: 64px;"">"
"beans","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_cMhbDKmIYpdXdxX"" style=""width: 64px; height: 64px;"" />"
"dog","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_cZVue5NPkBY7sih"" style=""width: 64px; height: 64px;"">"
"cattle","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_dcKxgDZqLrdSt1j"" style=""width: 64px; height: 44px;"">"
"beetle","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_esypBpYR7ZRZuYZ"" style=""width: 64px; height: 64px;"">"
"berries","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_5p67zXn1xNiSCj3"" style=""width: 64px; height: 64px;"">"
"bench","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_9Ypb6cOP9Jye5dX"" style=""width: 64px; height: 64px;"">"
"tree","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_6hQNIo4gUAallel"" style=""width: 64px; height: 64px;"">"
"priest","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_5nl54RRgerPmkKN"" style=""width: 64px; height: 64px;"">"
"flower","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_3mel8Xz5VHDys0l"" style=""width: 64px; height: 64px;"">"
"ship","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_1zgX5iT4Zs0AQIJ"" style=""width: 64px; height: 64px;"">"
"boot","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_7TLghcub7hMPvtX"" style=""width: 64px; height: 64px;"">"
"rocks","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_9to751FsQc1BnLv"" style=""width: 64px; height: 40px;"">"
"wine","<img src=""https://canterbury.qualtrics.com/CP/Graphic.php?IM=IM_5uqdfbaP6lVUX8V"" style=""width: 64px; height: 64px;"">"
