"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"Q60","participants_turn",NA,NA,"NA","solo","naming_test","pre",22
"soldier","valence","soldier","gunman","MATCH","solo","naming_test","pre",23
"socket","valence","socket","face","MATCH","solo","naming_test","pre",24
"priest","entrainment","priest","pastor","MATCH","solo","naming_test","pre",25
"artist","entrainment","artist","painter","CHANGE","solo","naming_test","pre",26
"plate","participants_turn",NA,NA,"NA","solo","naming_test","pre",27
"moth","valence","butterfly","insect","MATCH","solo","naming_test","pre",28
"sink","participants_turn",NA,NA,"NA","solo","naming_test","pre",29
"laptop","entrainment","computer","laptop","MATCH","solo","naming_test","pre",30
"peach","participants_turn",NA,NA,"NA","solo","naming_test","pre",31
"Q45","valence","concrete","pizza slice","MATCH","solo","naming_test","pre",32
"router","participants_turn",NA,NA,"NA","solo","naming_test","pre",33
"pipe","participants_turn",NA,NA,"NA","solo","naming_test","pre",34
"church","valence","church","cathedral","CHANGE","solo","naming_test","pre",35
"cop","participants_turn",NA,NA,"NA","solo","naming_test","pre",36
"boot","valence","shoe","work boot","CHANGE","solo","naming_test","pre",37
"frog","participants_turn",NA,NA,"NA","solo","naming_test","pre",38
"programmer","participants_turn",NA,NA,"NA","solo","naming_test","pre",39
"ship","entrainment","boat","ship","CHANGE","solo","naming_test","pre",40
"rocks","participants_turn",NA,NA,"NA","solo","naming_test","pre",41
"snake","entrainment","serpent","snake","CHANGE","solo","naming_test","pre",42
"dog","valence","wolf","dog","MATCH","solo","naming_test","pre",43
"cup","entrainment","cup","mug","CHANGE","solo","naming_test","pre",44
"car","participants_turn",NA,NA,"NA","solo","naming_test","pre",45
"USB","entrainment","memory stick","usb stick","MATCH","solo","naming_test","pre",46
"sphere","entrainment","sphere","ball","MATCH","solo","naming_test","pre",47
"clothes","participants_turn",NA,NA,"NA","solo","naming_test","pre",48
"king","valence","king","electric chair","CHANGE","solo","naming_test","pre",49
"couch","entrainment","couch","sofa","CHANGE","solo","naming_test","pre",50
"marijuana","valence","leaf","weed","CHANGE","solo","naming_test","pre",51
"knife","entrainment","dagger","knife","CHANGE","solo","naming_test","pre",52
"teacher","entrainment","lecturer","teacher","CHANGE","solo","naming_test","pre",53
"cross","participants_turn",NA,NA,"NA","solo","naming_test","pre",54
"robot","entrainment","robot","android","MATCH","solo","naming_test","pre",55
"branch","participants_turn",NA,NA,"NA","solo","naming_test","pre",56
"drugs","valence","medicine","drugs","CHANGE","solo","naming_test","pre",57
"beans","participants_turn",NA,NA,"NA","solo","naming_test","pre",58
"alligator","entrainment","crocodile","alligator","MATCH","solo","naming_test","pre",59
"violin","participants_turn",NA,NA,"NA","solo","naming_test","pre",60
"floppy","participants_turn",NA,NA,"NA","solo","naming_test","pre",61
