"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"soldier","valence","gunman","soldier","MATCH","solo","naming_test","pre",22
"mouse","valence","rat","mouse","MATCH","solo","naming_test","pre",23
"laptop","entrainment","laptop","computer","MATCH","solo","naming_test","pre",24
"floppy","participants_turn",NA,NA,"NA","solo","naming_test","pre",25
"barrels","participants_turn",NA,NA,"NA","solo","naming_test","pre",26
"branch","participants_turn",NA,NA,"NA","solo","naming_test","pre",27
"cleaner","participants_turn",NA,NA,"NA","solo","naming_test","pre",28
"woman","entrainment","woman","lady","MATCH","solo","naming_test","pre",29
"rabbit","entrainment","bunny","rabbit","CHANGE","solo","naming_test","pre",30
"knife","entrainment","knife","dagger","MATCH","solo","naming_test","pre",31
"bench","participants_turn",NA,NA,"NA","solo","naming_test","pre",32
"hen","participants_turn",NA,NA,"NA","solo","naming_test","pre",33
"tree","participants_turn",NA,NA,"NA","solo","naming_test","pre",34
"peach","participants_turn",NA,NA,"NA","solo","naming_test","pre",35
"ship","entrainment","ship","boat","MATCH","solo","naming_test","pre",36
"king","valence","king","electric chair","MATCH","solo","naming_test","pre",37
"money","entrainment","coins","money","MATCH","solo","naming_test","pre",38
"factory","valence","factory","pollution","CHANGE","solo","naming_test","pre",39
"teacher","entrainment","teacher","lecturer","CHANGE","solo","naming_test","pre",40
"cave","participants_turn",NA,NA,"NA","solo","naming_test","pre",41
"church","valence","cathedral","church","CHANGE","solo","naming_test","pre",42
"bat","participants_turn",NA,NA,"NA","solo","naming_test","pre",43
"Q60","participants_turn",NA,NA,"NA","solo","naming_test","pre",44
"doctor","participants_turn",NA,NA,"NA","solo","naming_test","pre",45
"videogame","participants_turn",NA,NA,"NA","solo","naming_test","pre",46
"thief","entrainment","robber","thief","CHANGE","solo","naming_test","pre",47
"parking sp","participants_turn",NA,NA,"NA","solo","naming_test","pre",48
"runners","participants_turn",NA,NA,"NA","solo","naming_test","pre",49
"house","valence","house","home","MATCH","solo","naming_test","pre",50
"touchpad","entrainment","touchscreen","tablet","MATCH","solo","naming_test","pre",51
"cart","participants_turn",NA,NA,"NA","solo","naming_test","pre",52
"router","participants_turn",NA,NA,"NA","solo","naming_test","pre",53
"cross","participants_turn",NA,NA,"NA","solo","naming_test","pre",54
"priest","entrainment","priest","pastor","MATCH","solo","naming_test","pre",55
"fireplace","participants_turn",NA,NA,"NA","solo","naming_test","pre",56
"robot","entrainment","android","robot","CHANGE","solo","naming_test","pre",57
"alligator","entrainment","alligator","crocodile","MATCH","solo","naming_test","pre",58
"sink","participants_turn",NA,NA,"NA","solo","naming_test","pre",59
"dunes","participants_turn",NA,NA,"NA","solo","naming_test","pre",60
"rocks","participants_turn",NA,NA,"NA","solo","naming_test","pre",61
