"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"ship","entrainment","boat","ship","CHANGE","solo","naming_test","pre",22
"sphere","entrainment","sphere","ball","CHANGE","solo","naming_test","pre",23
"athlete","participants_turn",NA,NA,"NA","solo","naming_test","pre",24
"barrels","participants_turn",NA,NA,"NA","solo","naming_test","pre",25
"artist","entrainment","artist","painter","MATCH","solo","naming_test","pre",26
"violin","participants_turn",NA,NA,"NA","solo","naming_test","pre",27
"road","valence","avenue","highway","CHANGE","solo","naming_test","pre",28
"cop","participants_turn",NA,NA,"NA","solo","naming_test","pre",29
"frog","participants_turn",NA,NA,"NA","solo","naming_test","pre",30
"cup","entrainment","cup","mug","CHANGE","solo","naming_test","pre",31
"cook","entrainment","chef","cook","MATCH","solo","naming_test","pre",32
"drink","participants_turn",NA,NA,"NA","solo","naming_test","pre",33
"moth","valence","insect","butterfly","MATCH","solo","naming_test","pre",34
"dirt","valence","sand","gravel","MATCH","solo","naming_test","pre",35
"robot","entrainment","robot","android","CHANGE","solo","naming_test","pre",36
"rabbit","entrainment","bunny","rabbit","CHANGE","solo","naming_test","pre",37
"church","valence","cathedral","church","CHANGE","solo","naming_test","pre",38
"drugs","valence","drugs","medicine","MATCH","solo","naming_test","pre",39
"beach","participants_turn",NA,NA,"NA","solo","naming_test","pre",40
"bat","participants_turn",NA,NA,"NA","solo","naming_test","pre",41
"pipe","participants_turn",NA,NA,"NA","solo","naming_test","pre",42
"factory","valence","pollution","factory","CHANGE","solo","naming_test","pre",43
"car","participants_turn",NA,NA,"NA","solo","naming_test","pre",44
"thief","entrainment","thief","robber","MATCH","solo","naming_test","pre",45
"Q45","valence","concrete","pizza slice","CHANGE","solo","naming_test","pre",46
"touchpad","entrainment","touchscreen","tablet","MATCH","solo","naming_test","pre",47
"branch","participants_turn",NA,NA,"NA","solo","naming_test","pre",48
"cleaner","participants_turn",NA,NA,"NA","solo","naming_test","pre",49
"peach","participants_turn",NA,NA,"NA","solo","naming_test","pre",50
"fireplace","participants_turn",NA,NA,"NA","solo","naming_test","pre",51
"flower","participants_turn",NA,NA,"NA","solo","naming_test","pre",52
"clothes","participants_turn",NA,NA,"NA","solo","naming_test","pre",53
"teacher","entrainment","teacher","lecturer","CHANGE","solo","naming_test","pre",54
"USB","entrainment","usb stick","memory stick","CHANGE","solo","naming_test","pre",55
"alligator","entrainment","alligator","crocodile","MATCH","solo","naming_test","pre",56
"floppy","participants_turn",NA,NA,"NA","solo","naming_test","pre",57
"cart","participants_turn",NA,NA,"NA","solo","naming_test","pre",58
"parking sp","participants_turn",NA,NA,"NA","solo","naming_test","pre",59
"pigeon","participants_turn",NA,NA,"NA","solo","naming_test","pre",60
"city","valence","town","buildings","CHANGE","solo","naming_test","pre",61
