"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"flower","participants_turn",NA,NA,"NA","solo","naming_test","pre",22
"robot","entrainment","android","robot","MATCH","solo","naming_test","pre",23
"dog","valence","wolf","dog","MATCH","solo","naming_test","pre",24
"barrels","participants_turn",NA,NA,"NA","solo","naming_test","pre",25
"beach","participants_turn",NA,NA,"NA","solo","naming_test","pre",26
"athlete","participants_turn",NA,NA,"NA","solo","naming_test","pre",27
"floppy","participants_turn",NA,NA,"NA","solo","naming_test","pre",28
"clothes","participants_turn",NA,NA,"NA","solo","naming_test","pre",29
"microbes","valence","microorganism","germs","MATCH","solo","naming_test","pre",30
"people","valence","people","crowd","MATCH","solo","naming_test","pre",31
"drugs","valence","medicine","drugs","MATCH","solo","naming_test","pre",32
"peach","participants_turn",NA,NA,"NA","solo","naming_test","pre",33
"thief","entrainment","robber","thief","MATCH","solo","naming_test","pre",34
"laptop","entrainment","computer","laptop","CHANGE","solo","naming_test","pre",35
"cave","participants_turn",NA,NA,"NA","solo","naming_test","pre",36
"snake","entrainment","serpent","snake","MATCH","solo","naming_test","pre",37
"router","participants_turn",NA,NA,"NA","solo","naming_test","pre",38
"baby","valence","sprog","kid","CHANGE","solo","naming_test","pre",39
"pipe","participants_turn",NA,NA,"NA","solo","naming_test","pre",40
"artist","entrainment","painter","artist","MATCH","solo","naming_test","pre",41
"bench","participants_turn",NA,NA,"NA","solo","naming_test","pre",42
"marijuana","valence","weed","leaf","MATCH","solo","naming_test","pre",43
"flag","participants_turn",NA,NA,"NA","solo","naming_test","pre",44
"tree","participants_turn",NA,NA,"NA","solo","naming_test","pre",45
"frog","participants_turn",NA,NA,"NA","solo","naming_test","pre",46
"wine","participants_turn",NA,NA,"NA","solo","naming_test","pre",47
"dunes","participants_turn",NA,NA,"NA","solo","naming_test","pre",48
"alligator","entrainment","crocodile","alligator","MATCH","solo","naming_test","pre",49
"beans","participants_turn",NA,NA,"NA","solo","naming_test","pre",50
"socket","valence","socket","face","CHANGE","solo","naming_test","pre",51
"Q45","valence","concrete","pizza slice","MATCH","solo","naming_test","pre",52
"drink","participants_turn",NA,NA,"NA","solo","naming_test","pre",53
"hen","participants_turn",NA,NA,"NA","solo","naming_test","pre",54
"bat","participants_turn",NA,NA,"NA","solo","naming_test","pre",55
"violin","participants_turn",NA,NA,"NA","solo","naming_test","pre",56
"USB","entrainment","memory stick","usb stick","CHANGE","solo","naming_test","pre",57
"road","valence","avenue","highway","CHANGE","solo","naming_test","pre",58
"car","participants_turn",NA,NA,"NA","solo","naming_test","pre",59
"boot","valence","shoe","work boot","CHANGE","solo","naming_test","pre",60
"berries","participants_turn",NA,NA,"NA","solo","naming_test","pre",61
