"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"tree","participants_turn",NA,NA,"NA","solo","naming_test","pre",22
"rocks","participants_turn",NA,NA,"NA","solo","naming_test","pre",23
"Q60","participants_turn",NA,NA,"NA","solo","naming_test","pre",24
"dirt","valence","gravel","sand","CHANGE","solo","naming_test","pre",25
"hen","participants_turn",NA,NA,"NA","solo","naming_test","pre",26
"doctor","participants_turn",NA,NA,"NA","solo","naming_test","pre",27
"beach","participants_turn",NA,NA,"NA","solo","naming_test","pre",28
"bat","participants_turn",NA,NA,"NA","solo","naming_test","pre",29
"knife","entrainment","knife","dagger","CHANGE","solo","naming_test","pre",30
"snake","entrainment","serpent","snake","MATCH","solo","naming_test","pre",31
"pigeon","participants_turn",NA,NA,"NA","solo","naming_test","pre",32
"thief","entrainment","thief","robber","CHANGE","solo","naming_test","pre",33
"flag","participants_turn",NA,NA,"NA","solo","naming_test","pre",34
"car","participants_turn",NA,NA,"NA","solo","naming_test","pre",35
"door","participants_turn",NA,NA,"NA","solo","naming_test","pre",36
"marijuana","valence","weed","leaf","MATCH","solo","naming_test","pre",37
"boot","valence","shoe","work boot","MATCH","solo","naming_test","pre",38
"cart","participants_turn",NA,NA,"NA","solo","naming_test","pre",39
"drink","participants_turn",NA,NA,"NA","solo","naming_test","pre",40
"couch","entrainment","sofa","couch","CHANGE","solo","naming_test","pre",41
"touchpad","entrainment","touchscreen","tablet","CHANGE","solo","naming_test","pre",42
"programmer","participants_turn",NA,NA,"NA","solo","naming_test","pre",43
"money","entrainment","money","coins","CHANGE","solo","naming_test","pre",44
"woman","entrainment","woman","lady","CHANGE","solo","naming_test","pre",45
"teacher","entrainment","teacher","lecturer","CHANGE","solo","naming_test","pre",46
"parking sp","participants_turn",NA,NA,"NA","solo","naming_test","pre",47
"floppy","participants_turn",NA,NA,"NA","solo","naming_test","pre",48
"cop","participants_turn",NA,NA,"NA","solo","naming_test","pre",49
"beans","participants_turn",NA,NA,"NA","solo","naming_test","pre",50
"alligator","entrainment","crocodile","alligator","MATCH","solo","naming_test","pre",51
"sink","participants_turn",NA,NA,"NA","solo","naming_test","pre",52
"factory","valence","pollution","factory","CHANGE","solo","naming_test","pre",53
"frog","participants_turn",NA,NA,"NA","solo","naming_test","pre",54
"athlete","participants_turn",NA,NA,"NA","solo","naming_test","pre",55
"wine","participants_turn",NA,NA,"NA","solo","naming_test","pre",56
"socket","valence","face","socket","MATCH","solo","naming_test","pre",57
"sphere","entrainment","ball","sphere","MATCH","solo","naming_test","pre",58
"cattle","entrainment","cows","cattle","MATCH","solo","naming_test","pre",59
"runners","participants_turn",NA,NA,"NA","solo","naming_test","pre",60
"artist","entrainment","painter","artist","CHANGE","solo","naming_test","pre",61
