"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"pigeon","participants_turn",NA,NA,"NA","solo","naming_test","pre",22
"factory","valence","pollution","factory","MATCH","solo","naming_test","pre",23
"doctor","participants_turn",NA,NA,"NA","solo","naming_test","pre",24
"bat","participants_turn",NA,NA,"NA","solo","naming_test","pre",25
"house","valence","house","home","CHANGE","solo","naming_test","pre",26
"rocks","participants_turn",NA,NA,"NA","solo","naming_test","pre",27
"road","valence","avenue","highway","CHANGE","solo","naming_test","pre",28
"recycling","valence","rubbish bin","recycling bin","CHANGE","solo","naming_test","pre",29
"rabbit","entrainment","bunny","rabbit","CHANGE","solo","naming_test","pre",30
"woman","entrainment","lady","woman","CHANGE","solo","naming_test","pre",31
"money","entrainment","money","coins","MATCH","solo","naming_test","pre",32
"USB","entrainment","memory stick","usb stick","CHANGE","solo","naming_test","pre",33
"Q60","participants_turn",NA,NA,"NA","solo","naming_test","pre",34
"plate","participants_turn",NA,NA,"NA","solo","naming_test","pre",35
"cup","entrainment","cup","mug","CHANGE","solo","naming_test","pre",36
"sphere","entrainment","ball","sphere","CHANGE","solo","naming_test","pre",37
"dirt","valence","sand","gravel","MATCH","solo","naming_test","pre",38
"cattle","entrainment","cattle","cows","MATCH","solo","naming_test","pre",39
"laptop","entrainment","computer","laptop","MATCH","solo","naming_test","pre",40
"cleaner","participants_turn",NA,NA,"NA","solo","naming_test","pre",41
"wine","participants_turn",NA,NA,"NA","solo","naming_test","pre",42
"sink","participants_turn",NA,NA,"NA","solo","naming_test","pre",43
"church","valence","cathedral","church","MATCH","solo","naming_test","pre",44
"knife","entrainment","knife","dagger","CHANGE","solo","naming_test","pre",45
"barrels","participants_turn",NA,NA,"NA","solo","naming_test","pre",46
"cave","participants_turn",NA,NA,"NA","solo","naming_test","pre",47
"frog","participants_turn",NA,NA,"NA","solo","naming_test","pre",48
"couch","entrainment","couch","sofa","MATCH","solo","naming_test","pre",49
"touchpad","entrainment","tablet","touchscreen","CHANGE","solo","naming_test","pre",50
"socket","valence","socket","face","MATCH","solo","naming_test","pre",51
"flower","participants_turn",NA,NA,"NA","solo","naming_test","pre",52
"car","participants_turn",NA,NA,"NA","solo","naming_test","pre",53
"beans","participants_turn",NA,NA,"NA","solo","naming_test","pre",54
"thief","entrainment","robber","thief","CHANGE","solo","naming_test","pre",55
"marijuana","valence","weed","leaf","CHANGE","solo","naming_test","pre",56
"floppy","participants_turn",NA,NA,"NA","solo","naming_test","pre",57
"athlete","participants_turn",NA,NA,"NA","solo","naming_test","pre",58
"fireplace","participants_turn",NA,NA,"NA","solo","naming_test","pre",59
"violin","participants_turn",NA,NA,"NA","solo","naming_test","pre",60
"pipe","participants_turn",NA,NA,"NA","solo","naming_test","pre",61
