"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"peach","participants_turn",NA,NA,"NA","solo","naming_test","pre",22
"microbes","valence","microorganism","germs","CHANGE","solo","naming_test","pre",23
"floppy","participants_turn",NA,NA,"NA","solo","naming_test","pre",24
"bench","participants_turn",NA,NA,"NA","solo","naming_test","pre",25
"laptop","entrainment","laptop","computer","MATCH","solo","naming_test","pre",26
"ship","entrainment","boat","ship","CHANGE","solo","naming_test","pre",27
"sink","participants_turn",NA,NA,"NA","solo","naming_test","pre",28
"socket","valence","face","socket","CHANGE","solo","naming_test","pre",29
"robot","entrainment","android","robot","MATCH","solo","naming_test","pre",30
"cattle","entrainment","cattle","cows","MATCH","solo","naming_test","pre",31
"violin","participants_turn",NA,NA,"NA","solo","naming_test","pre",32
"rabbit","entrainment","rabbit","bunny","CHANGE","solo","naming_test","pre",33
"sphere","entrainment","ball","sphere","CHANGE","solo","naming_test","pre",34
"touchpad","entrainment","tablet","touchscreen","CHANGE","solo","naming_test","pre",35
"couch","entrainment","sofa","couch","CHANGE","solo","naming_test","pre",36
"marijuana","valence","weed","leaf","MATCH","solo","naming_test","pre",37
"cleaner","participants_turn",NA,NA,"NA","solo","naming_test","pre",38
"dog","valence","dog","wolf","MATCH","solo","naming_test","pre",39
"dirt","valence","gravel","sand","CHANGE","solo","naming_test","pre",40
"teacher","entrainment","teacher","lecturer","CHANGE","solo","naming_test","pre",41
"cross","participants_turn",NA,NA,"NA","solo","naming_test","pre",42
"branch","participants_turn",NA,NA,"NA","solo","naming_test","pre",43
"house","valence","house","home","MATCH","solo","naming_test","pre",44
"people","valence","people","crowd","MATCH","solo","naming_test","pre",45
"king","valence","king","electric chair","MATCH","solo","naming_test","pre",46
"baby","valence","kid","sprog","CHANGE","solo","naming_test","pre",47
"alligator","entrainment","crocodile","alligator","MATCH","solo","naming_test","pre",48
"doctor","participants_turn",NA,NA,"NA","solo","naming_test","pre",49
"drugs","valence","drugs","medicine","MATCH","solo","naming_test","pre",50
"pigeon","participants_turn",NA,NA,"NA","solo","naming_test","pre",51
"drink","participants_turn",NA,NA,"NA","solo","naming_test","pre",52
"videogame","participants_turn",NA,NA,"NA","solo","naming_test","pre",53
"plate","participants_turn",NA,NA,"NA","solo","naming_test","pre",54
"artist","entrainment","artist","painter","MATCH","solo","naming_test","pre",55
"dunes","participants_turn",NA,NA,"NA","solo","naming_test","pre",56
"cave","participants_turn",NA,NA,"NA","solo","naming_test","pre",57
"router","participants_turn",NA,NA,"NA","solo","naming_test","pre",58
"money","entrainment","coins","money","MATCH","solo","naming_test","pre",59
"factory","valence","pollution","factory","CHANGE","solo","naming_test","pre",60
"pipe","participants_turn",NA,NA,"NA","solo","naming_test","pre",61
