"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"violin","participants_turn",NA,NA,"NA","solo","naming_test","pre",22
"beans","participants_turn",NA,NA,"NA","solo","naming_test","pre",23
"Q60","participants_turn",NA,NA,"NA","solo","naming_test","pre",24
"door","participants_turn",NA,NA,"NA","solo","naming_test","pre",25
"soldier","valence","soldier","gunman","MATCH","solo","naming_test","pre",26
"microbes","valence","microorganism","germs","MATCH","solo","naming_test","pre",27
"moth","valence","insect","butterfly","MATCH","solo","naming_test","pre",28
"touchpad","entrainment","touchscreen","tablet","MATCH","solo","naming_test","pre",29
"frog","participants_turn",NA,NA,"NA","solo","naming_test","pre",30
"recycling","valence","recycling bin","rubbish bin","MATCH","solo","naming_test","pre",31
"marijuana","valence","leaf","weed","CHANGE","solo","naming_test","pre",32
"sphere","entrainment","ball","sphere","CHANGE","solo","naming_test","pre",33
"laptop","entrainment","computer","laptop","CHANGE","solo","naming_test","pre",34
"alligator","entrainment","alligator","crocodile","CHANGE","solo","naming_test","pre",35
"dunes","participants_turn",NA,NA,"NA","solo","naming_test","pre",36
"bat","participants_turn",NA,NA,"NA","solo","naming_test","pre",37
"snake","entrainment","serpent","snake","CHANGE","solo","naming_test","pre",38
"artist","entrainment","painter","artist","MATCH","solo","naming_test","pre",39
"videogame","participants_turn",NA,NA,"NA","solo","naming_test","pre",40
"ship","entrainment","ship","boat","MATCH","solo","naming_test","pre",41
"cup","entrainment","mug","cup","CHANGE","solo","naming_test","pre",42
"clothes","participants_turn",NA,NA,"NA","solo","naming_test","pre",43
"branch","participants_turn",NA,NA,"NA","solo","naming_test","pre",44
"floppy","participants_turn",NA,NA,"NA","solo","naming_test","pre",45
"drugs","valence","medicine","drugs","CHANGE","solo","naming_test","pre",46
"rabbit","entrainment","rabbit","bunny","MATCH","solo","naming_test","pre",47
"car","participants_turn",NA,NA,"NA","solo","naming_test","pre",48
"woman","entrainment","lady","woman","MATCH","solo","naming_test","pre",49
"berries","participants_turn",NA,NA,"NA","solo","naming_test","pre",50
"Q45","valence","concrete","pizza slice","CHANGE","solo","naming_test","pre",51
"cave","participants_turn",NA,NA,"NA","solo","naming_test","pre",52
"cop","participants_turn",NA,NA,"NA","solo","naming_test","pre",53
"programmer","participants_turn",NA,NA,"NA","solo","naming_test","pre",54
"rocks","participants_turn",NA,NA,"NA","solo","naming_test","pre",55
"beach","participants_turn",NA,NA,"NA","solo","naming_test","pre",56
"cattle","entrainment","cows","cattle","CHANGE","solo","naming_test","pre",57
"flag","participants_turn",NA,NA,"NA","solo","naming_test","pre",58
"drink","participants_turn",NA,NA,"NA","solo","naming_test","pre",59
"sink","participants_turn",NA,NA,"NA","solo","naming_test","pre",60
