"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"cattle","entrainment","cattle","cows","CHANGE","solo","naming_test","pre",22
"touchpad","entrainment","tablet","touchscreen","MATCH","solo","naming_test","pre",23
"flag","participants_turn",NA,NA,"NA","solo","naming_test","pre",24
"doctor","participants_turn",NA,NA,"NA","solo","naming_test","pre",25
"beach","participants_turn",NA,NA,"NA","solo","naming_test","pre",26
"snake","entrainment","serpent","snake","MATCH","solo","naming_test","pre",27
"plate","participants_turn",NA,NA,"NA","solo","naming_test","pre",28
"city","valence","buildings","town","CHANGE","solo","naming_test","pre",29
"hen","participants_turn",NA,NA,"NA","solo","naming_test","pre",30
"factory","valence","pollution","factory","CHANGE","solo","naming_test","pre",31
"Q45","valence","pizza slice","concrete","MATCH","solo","naming_test","pre",32
"Q60","participants_turn",NA,NA,"NA","solo","naming_test","pre",33
"beans","participants_turn",NA,NA,"NA","solo","naming_test","pre",34
"violin","participants_turn",NA,NA,"NA","solo","naming_test","pre",35
"programmer","participants_turn",NA,NA,"NA","solo","naming_test","pre",36
"cross","participants_turn",NA,NA,"NA","solo","naming_test","pre",37
"rocks","participants_turn",NA,NA,"NA","solo","naming_test","pre",38
"drink","participants_turn",NA,NA,"NA","solo","naming_test","pre",39
"berries","participants_turn",NA,NA,"NA","solo","naming_test","pre",40
"microbes","valence","microorganism","germs","CHANGE","solo","naming_test","pre",41
"floppy","participants_turn",NA,NA,"NA","solo","naming_test","pre",42
"cart","participants_turn",NA,NA,"NA","solo","naming_test","pre",43
"knife","entrainment","knife","dagger","CHANGE","solo","naming_test","pre",44
"tree","participants_turn",NA,NA,"NA","solo","naming_test","pre",45
"laptop","entrainment","computer","laptop","CHANGE","solo","naming_test","pre",46
"church","valence","church","cathedral","MATCH","solo","naming_test","pre",47
"fireplace","participants_turn",NA,NA,"NA","solo","naming_test","pre",48
"moth","valence","butterfly","insect","MATCH","solo","naming_test","pre",49
"dog","valence","wolf","dog","CHANGE","solo","naming_test","pre",50
"marijuana","valence","leaf","weed","MATCH","solo","naming_test","pre",51
"cup","entrainment","mug","cup","MATCH","solo","naming_test","pre",52
"boot","valence","shoe","work boot","MATCH","solo","naming_test","pre",53
"branch","participants_turn",NA,NA,"NA","solo","naming_test","pre",54
"teacher","entrainment","teacher","lecturer","MATCH","solo","naming_test","pre",55
"dirt","valence","gravel","sand","MATCH","solo","naming_test","pre",56
"athlete","participants_turn",NA,NA,"NA","solo","naming_test","pre",57
"couch","entrainment","sofa","couch","MATCH","solo","naming_test","pre",58
"USB","entrainment","usb stick","memory stick","CHANGE","solo","naming_test","pre",59
"ship","entrainment","ship","boat","CHANGE","solo","naming_test","pre",60
"money","entrainment","coins","money","MATCH","solo","naming_test","pre",61
