"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"drugs","valence","drugs","medicine","MATCH","solo","naming_test","pre",22
"boot","valence","work boot","shoe","MATCH","solo","naming_test","pre",23
"recycling","valence","recycling bin","rubbish bin","MATCH","solo","naming_test","pre",24
"beans","participants_turn",NA,NA,"NA","solo","naming_test","pre",25
"berries","participants_turn",NA,NA,"NA","solo","naming_test","pre",26
"bench","participants_turn",NA,NA,"NA","solo","naming_test","pre",27
"dunes","participants_turn",NA,NA,"NA","solo","naming_test","pre",28
"pipe","participants_turn",NA,NA,"NA","solo","naming_test","pre",29
"fireplace","participants_turn",NA,NA,"NA","solo","naming_test","pre",30
"socket","valence","socket","face","CHANGE","solo","naming_test","pre",31
"microbes","valence","microorganism","germs","CHANGE","solo","naming_test","pre",32
"house","valence","house","home","MATCH","solo","naming_test","pre",33
"wine","participants_turn",NA,NA,"NA","solo","naming_test","pre",34
"athlete","participants_turn",NA,NA,"NA","solo","naming_test","pre",35
"branch","participants_turn",NA,NA,"NA","solo","naming_test","pre",36
"cook","entrainment","cook","chef","CHANGE","solo","naming_test","pre",37
"woman","entrainment","lady","woman","CHANGE","solo","naming_test","pre",38
"clothes","participants_turn",NA,NA,"NA","solo","naming_test","pre",39
"thief","entrainment","robber","thief","MATCH","solo","naming_test","pre",40
"bat","participants_turn",NA,NA,"NA","solo","naming_test","pre",41
"parking sp","participants_turn",NA,NA,"NA","solo","naming_test","pre",42
"city","valence","buildings","town","MATCH","solo","naming_test","pre",43
"people","valence","crowd","people","MATCH","solo","naming_test","pre",44
"peach","participants_turn",NA,NA,"NA","solo","naming_test","pre",45
"factory","valence","pollution","factory","CHANGE","solo","naming_test","pre",46
"flower","participants_turn",NA,NA,"NA","solo","naming_test","pre",47
"moth","valence","butterfly","insect","CHANGE","solo","naming_test","pre",48
"Q45","valence","pizza slice","concrete","MATCH","solo","naming_test","pre",49
"router","participants_turn",NA,NA,"NA","solo","naming_test","pre",50
"mouse","valence","rat","mouse","MATCH","solo","naming_test","pre",51
"doctor","participants_turn",NA,NA,"NA","solo","naming_test","pre",52
"touchpad","entrainment","touchscreen","tablet","MATCH","solo","naming_test","pre",53
"cleaner","participants_turn",NA,NA,"NA","solo","naming_test","pre",54
"pigeon","participants_turn",NA,NA,"NA","solo","naming_test","pre",55
"cross","participants_turn",NA,NA,"NA","solo","naming_test","pre",56
"frog","participants_turn",NA,NA,"NA","solo","naming_test","pre",57
"knife","entrainment","knife","dagger","CHANGE","solo","naming_test","pre",58
"USB","entrainment","usb stick","memory stick","CHANGE","solo","naming_test","pre",59
"snake","entrainment","serpent","snake","MATCH","solo","naming_test","pre",60
"sink","participants_turn",NA,NA,"NA","solo","naming_test","pre",61
