"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"moth","valence","butterfly","insect","MATCH","solo","naming_test","pre",22
"videogame","participants_turn",NA,NA,"NA","solo","naming_test","pre",23
"Q60","participants_turn",NA,NA,"NA","solo","naming_test","pre",24
"hen","participants_turn",NA,NA,"NA","solo","naming_test","pre",25
"pigeon","participants_turn",NA,NA,"NA","solo","naming_test","pre",26
"soldier","valence","soldier","gunman","MATCH","solo","naming_test","pre",27
"ship","entrainment","boat","ship","CHANGE","solo","naming_test","pre",28
"alligator","entrainment","alligator","crocodile","MATCH","solo","naming_test","pre",29
"sink","participants_turn",NA,NA,"NA","solo","naming_test","pre",30
"rabbit","entrainment","bunny","rabbit","CHANGE","solo","naming_test","pre",31
"dunes","participants_turn",NA,NA,"NA","solo","naming_test","pre",32
"recycling","valence","recycling bin","rubbish bin","MATCH","solo","naming_test","pre",33
"factory","valence","pollution","factory","CHANGE","solo","naming_test","pre",34
"cop","participants_turn",NA,NA,"NA","solo","naming_test","pre",35
"berries","participants_turn",NA,NA,"NA","solo","naming_test","pre",36
"drink","participants_turn",NA,NA,"NA","solo","naming_test","pre",37
"drugs","valence","medicine","drugs","MATCH","solo","naming_test","pre",38
"rocks","participants_turn",NA,NA,"NA","solo","naming_test","pre",39
"wine","participants_turn",NA,NA,"NA","solo","naming_test","pre",40
"violin","participants_turn",NA,NA,"NA","solo","naming_test","pre",41
"bat","participants_turn",NA,NA,"NA","solo","naming_test","pre",42
"floppy","participants_turn",NA,NA,"NA","solo","naming_test","pre",43
"dog","valence","dog","wolf","CHANGE","solo","naming_test","pre",44
"car","participants_turn",NA,NA,"NA","solo","naming_test","pre",45
"doctor","participants_turn",NA,NA,"NA","solo","naming_test","pre",46
"tree","participants_turn",NA,NA,"NA","solo","naming_test","pre",47
"fireplace","participants_turn",NA,NA,"NA","solo","naming_test","pre",48
"city","valence","town","buildings","CHANGE","solo","naming_test","pre",49
"money","entrainment","money","coins","CHANGE","solo","naming_test","pre",50
"touchpad","entrainment","tablet","touchscreen","CHANGE","solo","naming_test","pre",51
"plate","participants_turn",NA,NA,"NA","solo","naming_test","pre",52
"peach","participants_turn",NA,NA,"NA","solo","naming_test","pre",53
"parking sp","participants_turn",NA,NA,"NA","solo","naming_test","pre",54
"thief","entrainment","thief","robber","CHANGE","solo","naming_test","pre",55
"frog","participants_turn",NA,NA,"NA","solo","naming_test","pre",56
"bench","participants_turn",NA,NA,"NA","solo","naming_test","pre",57
"pipe","participants_turn",NA,NA,"NA","solo","naming_test","pre",58
"router","participants_turn",NA,NA,"NA","solo","naming_test","pre",59
"house","valence","home","house","CHANGE","solo","naming_test","pre",60
"cross","participants_turn",NA,NA,"NA","solo","naming_test","pre",61
