"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"berries","participants_turn",NA,NA,"NA","solo","naming_test","pre",22
"runners","participants_turn",NA,NA,"NA","solo","naming_test","pre",23
"doctor","participants_turn",NA,NA,"NA","solo","naming_test","pre",24
"artist","entrainment","artist","painter","CHANGE","solo","naming_test","pre",25
"wine","participants_turn",NA,NA,"NA","solo","naming_test","pre",26
"Q45","valence","concrete","pizza slice","MATCH","solo","naming_test","pre",27
"road","valence","avenue","highway","MATCH","solo","naming_test","pre",28
"baby","valence","sprog","kid","CHANGE","solo","naming_test","pre",29
"hen","participants_turn",NA,NA,"NA","solo","naming_test","pre",30
"touchpad","entrainment","touchscreen","tablet","MATCH","solo","naming_test","pre",31
"pigeon","participants_turn",NA,NA,"NA","solo","naming_test","pre",32
"couch","entrainment","sofa","couch","MATCH","solo","naming_test","pre",33
"bat","participants_turn",NA,NA,"NA","solo","naming_test","pre",34
"knife","entrainment","knife","dagger","CHANGE","solo","naming_test","pre",35
"dirt","valence","gravel","sand","CHANGE","solo","naming_test","pre",36
"parking sp","participants_turn",NA,NA,"NA","solo","naming_test","pre",37
"cop","participants_turn",NA,NA,"NA","solo","naming_test","pre",38
"peach","participants_turn",NA,NA,"NA","solo","naming_test","pre",39
"moth","valence","insect","butterfly","MATCH","solo","naming_test","pre",40
"branch","participants_turn",NA,NA,"NA","solo","naming_test","pre",41
"teacher","entrainment","lecturer","teacher","CHANGE","solo","naming_test","pre",42
"fireplace","participants_turn",NA,NA,"NA","solo","naming_test","pre",43
"boot","valence","shoe","work boot","MATCH","solo","naming_test","pre",44
"money","entrainment","money","coins","MATCH","solo","naming_test","pre",45
"king","valence","king","electric chair","CHANGE","solo","naming_test","pre",46
"dunes","participants_turn",NA,NA,"NA","solo","naming_test","pre",47
"USB","entrainment","usb stick","memory stick","MATCH","solo","naming_test","pre",48
"factory","valence","pollution","factory","MATCH","solo","naming_test","pre",49
"alligator","entrainment","alligator","crocodile","MATCH","solo","naming_test","pre",50
"people","valence","crowd","people","CHANGE","solo","naming_test","pre",51
"bench","participants_turn",NA,NA,"NA","solo","naming_test","pre",52
"sphere","entrainment","sphere","ball","MATCH","solo","naming_test","pre",53
"drugs","valence","drugs","medicine","CHANGE","solo","naming_test","pre",54
"car","participants_turn",NA,NA,"NA","solo","naming_test","pre",55
"flower","participants_turn",NA,NA,"NA","solo","naming_test","pre",56
"floppy","participants_turn",NA,NA,"NA","solo","naming_test","pre",57
"house","valence","home","house","MATCH","solo","naming_test","pre",58
"cleaner","participants_turn",NA,NA,"NA","solo","naming_test","pre",59
"tree","participants_turn",NA,NA,"NA","solo","naming_test","pre",60
"frog","participants_turn",NA,NA,"NA","solo","naming_test","pre",61
