"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
"NA","NA","NA","NA","NA","solo","naming_test","pre",21
"wine","participants_turn",NA,NA,"NA","solo","naming_test","pre",22
"soldier","valence","soldier","gunman","CHANGE","solo","naming_test","pre",23
"bench","participants_turn",NA,NA,"NA","solo","naming_test","pre",24
"king","valence","electric chair","king","MATCH","solo","naming_test","pre",25
"videogame","participants_turn",NA,NA,"NA","solo","naming_test","pre",26
"socket","valence","socket","face","MATCH","solo","naming_test","pre",27
"bat","participants_turn",NA,NA,"NA","solo","naming_test","pre",28
"programmer","participants_turn",NA,NA,"NA","solo","naming_test","pre",29
"dunes","participants_turn",NA,NA,"NA","solo","naming_test","pre",30
"beans","participants_turn",NA,NA,"NA","solo","naming_test","pre",31
"Q60","participants_turn",NA,NA,"NA","solo","naming_test","pre",32
"cart","participants_turn",NA,NA,"NA","solo","naming_test","pre",33
"city","valence","buildings","town","MATCH","solo","naming_test","pre",34
"cleaner","participants_turn",NA,NA,"NA","solo","naming_test","pre",35
"snake","entrainment","snake","serpent","CHANGE","solo","naming_test","pre",36
"USB","entrainment","usb stick","memory stick","CHANGE","solo","naming_test","pre",37
"ship","entrainment","ship","boat","CHANGE","solo","naming_test","pre",38
"door","participants_turn",NA,NA,"NA","solo","naming_test","pre",39
"clothes","participants_turn",NA,NA,"NA","solo","naming_test","pre",40
"flower","participants_turn",NA,NA,"NA","solo","naming_test","pre",41
"branch","participants_turn",NA,NA,"NA","solo","naming_test","pre",42
"cop","participants_turn",NA,NA,"NA","solo","naming_test","pre",43
"pipe","participants_turn",NA,NA,"NA","solo","naming_test","pre",44
"baby","valence","sprog","kid","MATCH","solo","naming_test","pre",45
"drink","participants_turn",NA,NA,"NA","solo","naming_test","pre",46
"beach","participants_turn",NA,NA,"NA","solo","naming_test","pre",47
"flag","participants_turn",NA,NA,"NA","solo","naming_test","pre",48
"car","participants_turn",NA,NA,"NA","solo","naming_test","pre",49
"church","valence","church","cathedral","CHANGE","solo","naming_test","pre",50
"people","valence","people","crowd","CHANGE","solo","naming_test","pre",51
"Q45","valence","concrete","pizza slice","CHANGE","solo","naming_test","pre",52
"priest","entrainment","pastor","priest","CHANGE","solo","naming_test","pre",53
"touchpad","entrainment","tablet","touchscreen","MATCH","solo","naming_test","pre",54
"cattle","entrainment","cattle","cows","MATCH","solo","naming_test","pre",55
"drugs","valence","medicine","drugs","CHANGE","solo","naming_test","pre",56
"barrels","participants_turn",NA,NA,"NA","solo","naming_test","pre",57
"microbes","valence","microorganism","germs","CHANGE","solo","naming_test","pre",58
"sphere","entrainment","sphere","ball","MATCH","solo","naming_test","pre",59
"parking sp","participants_turn",NA,NA,"NA","solo","naming_test","pre",60
"mouse","valence","mouse","rat","MATCH","solo","naming_test","pre",61
