"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"frog","participants_turn","NA","NA","NA","solo","valence_test","pre",1
"snake","entrainment","serpent","snake","MATCH","solo","valence_test","pre",2
"soldier","valence","gunman","soldier","MATCH","solo","valence_test","pre",3
"runners","participants_turn","NA","NA","NA","solo","valence_test","pre",4
"touchpad","entrainment","touchscreen","tablet","MATCH","solo","valence_test","pre",5
"athlete","participants_turn","NA","NA","NA","solo","valence_test","pre",6
"dunes","participants_turn","NA","NA","NA","solo","valence_test","pre",7
"artist","entrainment","artist","painter","CHANGE","solo","valence_test","pre",8
"beach","participants_turn","NA","NA","NA","solo","valence_test","pre",9
"violin","participants_turn","NA","NA","NA","solo","valence_test","pre",10
"people","valence","people","crowd","MATCH","solo","valence_test","pre",11
"mouse","valence","mouse","rat","CHANGE","solo","valence_test","pre",12
"berries","participants_turn","NA","NA","NA","solo","valence_test","pre",13
"sink","participants_turn","NA","NA","NA","solo","valence_test","pre",14
"money","entrainment","money","coins","CHANGE","solo","valence_test","pre",15
"parking sp","participants_turn","NA","NA","NA","solo","valence_test","pre",16
"road","valence","avenue","highway","MATCH","solo","valence_test","pre",17
"recycling","valence","recycling bin","rubbish bin","MATCH","solo","valence_test","pre",18
"wine","participants_turn","NA","NA","NA","solo","valence_test","pre",19
"branch","participants_turn","NA","NA","NA","solo","valence_test","pre",20
"priest","entrainment","pastor","priest","CHANGE","solo","valence_test","pre",21
"knife","entrainment","knife","dagger","MATCH","solo","valence_test","pre",22
"tree","participants_turn","NA","NA","NA","solo","valence_test","pre",23
"bench","participants_turn","NA","NA","NA","solo","valence_test","pre",24
"thief","entrainment","robber","thief","CHANGE","solo","valence_test","pre",25
"Q60","participants_turn","NA","NA","NA","solo","valence_test","pre",26
"doctor","participants_turn","NA","NA","NA","solo","valence_test","pre",27
"drugs","valence","drugs","medicine","MATCH","solo","valence_test","pre",28
"plate","participants_turn","NA","NA","NA","solo","valence_test","pre",29
"dog","valence","wolf","dog","CHANGE","solo","valence_test","pre",30
"drink","participants_turn","NA","NA","NA","solo","valence_test","pre",31
"router","participants_turn","NA","NA","NA","solo","valence_test","pre",32
"dirt","valence","sand","gravel","MATCH","solo","valence_test","pre",33
"pipe","participants_turn","NA","NA","NA","solo","valence_test","pre",34
"hen","participants_turn","NA","NA","NA","solo","valence_test","pre",35
"ship","entrainment","ship","boat","CHANGE","solo","valence_test","pre",36
"cattle","entrainment","cattle","cows","CHANGE","solo","valence_test","pre",37
"cook","entrainment","cook","chef","MATCH","solo","valence_test","pre",38
"fireplace","participants_turn","NA","NA","NA","solo","valence_test","pre",39
"alligator","entrainment","crocodile","alligator","MATCH","solo","valence_test","pre",40
"USB","entrainment","usb stick","memory stick","CHANGE","solo","valence_test","pre",41
"barrels","participants_turn","NA","NA","NA","solo","valence_test","pre",42
"boot","valence","shoe","work boot","CHANGE","solo","valence_test","pre",43
"king","valence","electric chair","king","CHANGE","solo","valence_test","pre",44
"beans","participants_turn","NA","NA","NA","solo","valence_test","pre",45
"cave","participants_turn","NA","NA","NA","solo","valence_test","pre",46
"baby","valence","sprog","kid","CHANGE","solo","valence_test","pre",47
"robot","entrainment","android","robot","MATCH","solo","valence_test","pre",48
"woman","entrainment","woman","lady","MATCH","solo","valence_test","pre",49
"marijuana","valence","leaf","weed","CHANGE","solo","valence_test","pre",50
"rocks","participants_turn","NA","NA","NA","solo","valence_test","pre",51
"videogame","participants_turn","NA","NA","NA","solo","valence_test","pre",52
"couch","entrainment","sofa","couch","CHANGE","solo","valence_test","pre",53
"rabbit","entrainment","bunny","rabbit","CHANGE","solo","valence_test","pre",54
"flower","participants_turn","NA","NA","NA","solo","valence_test","pre",55
"programmer","participants_turn","NA","NA","NA","solo","valence_test","pre",56
"cleaner","participants_turn","NA","NA","NA","solo","valence_test","pre",57
"microbes","valence","germs","microorganism","CHANGE","solo","valence_test","pre",58
"laptop","entrainment","laptop","computer","CHANGE","solo","valence_test","pre",59
"city","valence","buildings","town","MATCH","solo","valence_test","pre",60
"car","participants_turn","NA","NA","NA","solo","valence_test","pre",61
"bat","participants_turn","NA","NA","NA","solo","valence_test","pre",62
"church","valence","cathedral","church","CHANGE","solo","valence_test","pre",63
"teacher","entrainment","lecturer","teacher","MATCH","solo","valence_test","pre",64
"cross","participants_turn","NA","NA","NA","solo","valence_test","pre",65
"factory","valence","pollution","factory","CHANGE","solo","valence_test","pre",66
"socket","valence","face","socket","MATCH","solo","valence_test","pre",67
"moth","valence","insect","butterfly","CHANGE","solo","valence_test","pre",68
"pigeon","participants_turn","NA","NA","NA","solo","valence_test","pre",69
"door","participants_turn","NA","NA","NA","solo","valence_test","pre",70
"floppy","participants_turn","NA","NA","NA","solo","valence_test","pre",71
"clothes","participants_turn","NA","NA","NA","solo","valence_test","pre",72
"sphere","entrainment","sphere","ball","MATCH","solo","valence_test","pre",73
"Q45","valence","pizza slice","concrete","MATCH","solo","valence_test","pre",74
"house","valence","house","home","MATCH","solo","valence_test","pre",75
"cart","participants_turn","NA","NA","NA","solo","valence_test","pre",76
"peach","participants_turn","NA","NA","NA","solo","valence_test","pre",77
"flag","participants_turn","NA","NA","NA","solo","valence_test","pre",78
"cop","participants_turn","NA","NA","NA","solo","valence_test","pre",79
"cup","entrainment","cup","mug","MATCH","solo","valence_test","pre",80
"drugs","valence","drugs","medicine","MATCH","solo","naming_test","pre",81
"bat","participants_turn","NA","NA","NA","solo","naming_test","pre",82
"pigeon","participants_turn","NA","NA","NA","solo","naming_test","pre",83
"factory","valence","pollution","factory","CHANGE","solo","naming_test","pre",84
"door","participants_turn","NA","NA","NA","solo","naming_test","pre",85
"wine","participants_turn","NA","NA","NA","solo","naming_test","pre",86
"cop","participants_turn","NA","NA","NA","solo","naming_test","pre",87
"doctor","participants_turn","NA","NA","NA","solo","naming_test","pre",88
"cave","participants_turn","NA","NA","NA","solo","naming_test","pre",89
"videogame","participants_turn","NA","NA","NA","solo","naming_test","pre",90
"knife","entrainment","knife","dagger","MATCH","solo","naming_test","pre",91
"runners","participants_turn","NA","NA","NA","solo","naming_test","pre",92
"peach","participants_turn","NA","NA","NA","solo","naming_test","pre",93
"frog","participants_turn","NA","NA","NA","solo","naming_test","pre",94
"plate","participants_turn","NA","NA","NA","solo","naming_test","pre",95
"rabbit","entrainment","bunny","rabbit","CHANGE","solo","naming_test","pre",96
"cleaner","participants_turn","NA","NA","NA","solo","naming_test","pre",97
"cup","entrainment","cup","mug","MATCH","solo","naming_test","pre",98
