"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
NA,NA,NA,NA,NA,"solo","naming_test","pre",21
"door","participants_turn",NA,NA,NA,"solo","naming_test","pre",22
"flag","participants_turn",NA,NA,NA,"solo","naming_test","pre",23
"money","entrainment","money","coins","CHANGE","solo","naming_test","pre",24
"doctor","participants_turn",NA,NA,NA,"solo","naming_test","pre",25
"cross","participants_turn",NA,NA,NA,"solo","naming_test","pre",26
"berries","participants_turn",NA,NA,NA,"solo","naming_test","pre",27
"pigeon","participants_turn",NA,NA,NA,"solo","naming_test","pre",28
"barrels","participants_turn",NA,NA,NA,"solo","naming_test","pre",29
"knife","entrainment","knife","dagger","CHANGE","solo","naming_test","pre",30
"cop","participants_turn",NA,NA,NA,"solo","naming_test","pre",31
"socket","valence","socket","face","CHANGE","solo","naming_test","pre",32
"sphere","entrainment","ball","sphere","MATCH","solo","naming_test","pre",33
"ship","entrainment","ship","boat","MATCH","solo","naming_test","pre",34
"mouse","valence","mouse","rat","MATCH","solo","naming_test","pre",35
"microbes","valence","microorganisms","germs","CHANGE","solo","naming_test","pre",36
"cleaner","participants_turn",NA,NA,NA,"solo","naming_test","pre",37
"road","valence","highway","avenue","CHANGE","solo","naming_test","pre",38
"factory","valence","pollution","factory","CHANGE","solo","naming_test","pre",39
"parking sp","participants_turn",NA,NA,NA,"solo","naming_test","pre",40
"thief","entrainment","thief","robber","CHANGE","solo","naming_test","pre",41
"cook","entrainment","chef","cook","CHANGE","solo","naming_test","pre",42
"sink","participants_turn",NA,NA,NA,"solo","naming_test","pre",43
"violin","participants_turn",NA,NA,NA,"solo","naming_test","pre",44
"dunes","participants_turn",NA,NA,NA,"solo","naming_test","pre",45
"athlete","participants_turn",NA,NA,NA,"solo","naming_test","pre",46
"pipe","participants_turn",NA,NA,NA,"solo","naming_test","pre",47
"people","valence","crowd","people","CHANGE","solo","naming_test","pre",48
"runners","participants_turn",NA,NA,NA,"solo","naming_test","pre",49
"cave","participants_turn",NA,NA,NA,"solo","naming_test","pre",50
"soldier","valence","soldier","gunman","MATCH","solo","naming_test","pre",51
"city","valence","buildings","town","MATCH","solo","naming_test","pre",52
"marijuana","valence","leaf","weed","MATCH","solo","naming_test","pre",53
"laptop","entrainment","laptop","computer","CHANGE","solo","naming_test","pre",54
"videogame","participants_turn",NA,NA,NA,"solo","naming_test","pre",55
"Q45","valence","pizza slice","concrete","CHANGE","solo","naming_test","pre",56
"baby","valence","sprog","kid","MATCH","solo","naming_test","pre",57
"car","participants_turn",NA,NA,NA,"solo","naming_test","pre",58
"wine","participants_turn",NA,NA,NA,"solo","naming_test","pre",59
"robot","entrainment","robot","android","CHANGE","solo","naming_test","pre",60
"rabbit","entrainment","rabbit","bunny","MATCH","solo","naming_test","pre",61
