"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
NA,NA,NA,NA,NA,"solo","naming_test","pre",21
"priest","entrainment","pastor","priest","CHANGE","solo","naming_test","pre",22
"robot","entrainment","android","robot","MATCH","solo","naming_test","pre",23
"marijuana","valence","leaf","weed","MATCH","solo","naming_test","pre",24
"violin","participants_turn",NA,NA,NA,"solo","naming_test","pre",25
"clothes","participants_turn",NA,NA,NA,"solo","naming_test","pre",26
"baby","valence","kid","sprog","MATCH","solo","naming_test","pre",27
"barrels","participants_turn",NA,NA,NA,"solo","naming_test","pre",28
"ship","entrainment","boat","ship","MATCH","solo","naming_test","pre",29
"moth","valence","insect","butterfly","MATCH","solo","naming_test","pre",30
"sphere","entrainment","ball","sphere","MATCH","solo","naming_test","pre",31
"king","valence","electric chair","king","CHANGE","solo","naming_test","pre",32
"Q60","participants_turn",NA,NA,NA,"solo","naming_test","pre",33
"dunes","participants_turn",NA,NA,NA,"solo","naming_test","pre",34
"rocks","participants_turn",NA,NA,NA,"solo","naming_test","pre",35
"cross","participants_turn",NA,NA,NA,"solo","naming_test","pre",36
"car","participants_turn",NA,NA,NA,"solo","naming_test","pre",37
"artist","entrainment","artist","painter","MATCH","solo","naming_test","pre",38
"drugs","valence","medicine","drugs","CHANGE","solo","naming_test","pre",39
"touchpad","entrainment","touchscreen","tablet","MATCH","solo","naming_test","pre",40
"router","participants_turn",NA,NA,NA,"solo","naming_test","pre",41
"soldier","valence","soldier","gunman","MATCH","solo","naming_test","pre",42
"tree","participants_turn",NA,NA,NA,"solo","naming_test","pre",43
"boot","valence","shoe","work boot","CHANGE","solo","naming_test","pre",44
"flower","participants_turn",NA,NA,NA,"solo","naming_test","pre",45
"cup","entrainment","mug","cup","CHANGE","solo","naming_test","pre",46
"house","valence","house","home","CHANGE","solo","naming_test","pre",47
"pigeon","participants_turn",NA,NA,NA,"solo","naming_test","pre",48
"laptop","entrainment","laptop","computer","MATCH","solo","naming_test","pre",49
"cart","participants_turn",NA,NA,NA,"solo","naming_test","pre",50
"city","valence","town","buildings","MATCH","solo","naming_test","pre",51
"sink","participants_turn",NA,NA,NA,"solo","naming_test","pre",52
"recycling","valence","rubbish bin","recycling bin","MATCH","solo","naming_test","pre",53
"frog","participants_turn",NA,NA,NA,"solo","naming_test","pre",54
"doctor","participants_turn",NA,NA,NA,"solo","naming_test","pre",55
"cook","entrainment","cook","chef","CHANGE","solo","naming_test","pre",56
"cop","participants_turn",NA,NA,NA,"solo","naming_test","pre",57
"couch","entrainment","couch","sofa","CHANGE","solo","naming_test","pre",58
"programmer","participants_turn",NA,NA,NA,"solo","naming_test","pre",59
"parking sp","participants_turn",NA,NA,NA,"solo","naming_test","pre",60
"peach","participants_turn",NA,NA,NA,"solo","naming_test","pre",61
