"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
NA,NA,NA,NA,NA,"solo","naming_test","pre",21
"branch","participants_turn",NA,NA,NA,"solo","naming_test","pre",22
"cleaner","participants_turn",NA,NA,NA,"solo","naming_test","pre",23
"barrels","participants_turn",NA,NA,NA,"solo","naming_test","pre",24
"recycling","valence","recycling bin","rubbish bin","CHANGE","solo","naming_test","pre",25
"cup","entrainment","mug","cup","CHANGE","solo","naming_test","pre",26
"bench","participants_turn",NA,NA,NA,"solo","naming_test","pre",27
"door","participants_turn",NA,NA,NA,"solo","naming_test","pre",28
"boot","valence","work boot","shoe","MATCH","solo","naming_test","pre",29
"car","participants_turn",NA,NA,NA,"solo","naming_test","pre",30
"laptop","entrainment","computer","laptop","MATCH","solo","naming_test","pre",31
"plate","participants_turn",NA,NA,NA,"solo","naming_test","pre",32
"people","valence","crowd","people","MATCH","solo","naming_test","pre",33
"robot","entrainment","robot","android","MATCH","solo","naming_test","pre",34
"wine","participants_turn",NA,NA,NA,"solo","naming_test","pre",35
"moth","valence","butterfly","insect","MATCH","solo","naming_test","pre",36
"city","valence","buildings","town","MATCH","solo","naming_test","pre",37
"factory","valence","pollution","factory","CHANGE","solo","naming_test","pre",38
"USB","entrainment","usb stick","memory stick","MATCH","solo","naming_test","pre",39
"artist","entrainment","painter","artist","CHANGE","solo","naming_test","pre",40
"berries","participants_turn",NA,NA,NA,"solo","naming_test","pre",41
"dog","valence","wolf","dog","MATCH","solo","naming_test","pre",42
"snake","entrainment","snake","serpent","MATCH","solo","naming_test","pre",43
"bat","participants_turn",NA,NA,NA,"solo","naming_test","pre",44
"king","valence","electric chair","king","MATCH","solo","naming_test","pre",45
"teacher","entrainment","lecturer","teacher","MATCH","solo","naming_test","pre",46
"cop","participants_turn",NA,NA,NA,"solo","naming_test","pre",47
"violin","participants_turn",NA,NA,NA,"solo","naming_test","pre",48
"fireplace","participants_turn",NA,NA,NA,"solo","naming_test","pre",49
"flag","participants_turn",NA,NA,NA,"solo","naming_test","pre",50
"flower","participants_turn",NA,NA,NA,"solo","naming_test","pre",51
"peach","participants_turn",NA,NA,NA,"solo","naming_test","pre",52
"drugs","valence","drugs","medicine","CHANGE","solo","naming_test","pre",53
"thief","entrainment","robber","thief","CHANGE","solo","naming_test","pre",54
"soldier","valence","soldier","gunman","CHANGE","solo","naming_test","pre",55
"floppy","participants_turn",NA,NA,NA,"solo","naming_test","pre",56
"marijuana","valence","weed","leaf","CHANGE","solo","naming_test","pre",57
"microbes","valence","germs","microorganisms","CHANGE","solo","naming_test","pre",58
"programmer","participants_turn",NA,NA,NA,"solo","naming_test","pre",59
"drink","participants_turn",NA,NA,NA,"solo","naming_test","pre",60
"videogame","participants_turn",NA,NA,NA,"solo","naming_test","pre",61
