"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
NA,NA,NA,NA,NA,"solo","naming_test","pre",21
"tree","participants_turn",NA,NA,NA,"solo","naming_test","pre",22
"people","valence","crowd","people","CHANGE","solo","naming_test","pre",23
"barrels","participants_turn",NA,NA,NA,"solo","naming_test","pre",24
"king","valence","king","electric chair","CHANGE","solo","naming_test","pre",25
"bat","participants_turn",NA,NA,NA,"solo","naming_test","pre",26
"cup","entrainment","cup","mug","MATCH","solo","naming_test","pre",27
"frog","participants_turn",NA,NA,NA,"solo","naming_test","pre",28
"rocks","participants_turn",NA,NA,NA,"solo","naming_test","pre",29
"USB","entrainment","memory stick","usb stick","MATCH","solo","naming_test","pre",30
"pipe","participants_turn",NA,NA,NA,"solo","naming_test","pre",31
"dirt","valence","sand","gravel","CHANGE","solo","naming_test","pre",32
"peach","participants_turn",NA,NA,NA,"solo","naming_test","pre",33
"dunes","participants_turn",NA,NA,NA,"solo","naming_test","pre",34
"wine","participants_turn",NA,NA,NA,"solo","naming_test","pre",35
"cleaner","participants_turn",NA,NA,NA,"solo","naming_test","pre",36
"cave","participants_turn",NA,NA,NA,"solo","naming_test","pre",37
"recycling","valence","recycling bin","rubbish bin","MATCH","solo","naming_test","pre",38
"violin","participants_turn",NA,NA,NA,"solo","naming_test","pre",39
"sink","participants_turn",NA,NA,NA,"solo","naming_test","pre",40
"Q45","valence","concrete","pizza slice","CHANGE","solo","naming_test","pre",41
"cop","participants_turn",NA,NA,NA,"solo","naming_test","pre",42
"rabbit","entrainment","bunny","rabbit","CHANGE","solo","naming_test","pre",43
"teacher","entrainment","lecturer","teacher","MATCH","solo","naming_test","pre",44
"house","valence","house","home","MATCH","solo","naming_test","pre",45
"microbes","valence","germs","microorganisms","CHANGE","solo","naming_test","pre",46
"flower","participants_turn",NA,NA,NA,"solo","naming_test","pre",47
"factory","valence","factory","pollution","MATCH","solo","naming_test","pre",48
"drink","participants_turn",NA,NA,NA,"solo","naming_test","pre",49
"socket","valence","socket","face","CHANGE","solo","naming_test","pre",50
"drugs","valence","drugs","medicine","MATCH","solo","naming_test","pre",51
"knife","entrainment","dagger","knife","CHANGE","solo","naming_test","pre",52
"floppy","participants_turn",NA,NA,NA,"solo","naming_test","pre",53
"videogame","participants_turn",NA,NA,NA,"solo","naming_test","pre",54
"Q60","participants_turn",NA,NA,NA,"solo","naming_test","pre",55
"cross","participants_turn",NA,NA,NA,"solo","naming_test","pre",56
"baby","valence","kid","sprog","MATCH","solo","naming_test","pre",57
"clothes","participants_turn",NA,NA,NA,"solo","naming_test","pre",58
"church","valence","cathedral","church","MATCH","solo","naming_test","pre",59
"runners","participants_turn",NA,NA,NA,"solo","naming_test","pre",60
"parking sp","participants_turn",NA,NA,NA,"solo","naming_test","pre",61
