"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
NA,NA,NA,NA,NA,"solo","naming_test","pre",21
"floppy","participants_turn",NA,NA,NA,"solo","naming_test","pre",22
"athlete","participants_turn",NA,NA,NA,"solo","naming_test","pre",23
"fireplace","participants_turn",NA,NA,NA,"solo","naming_test","pre",24
"house","valence","home","house","MATCH","solo","naming_test","pre",25
"boot","valence","work boot","shoe","MATCH","solo","naming_test","pre",26
"robot","entrainment","robot","android","CHANGE","solo","naming_test","pre",27
"plate","participants_turn",NA,NA,NA,"solo","naming_test","pre",28
"cleaner","participants_turn",NA,NA,NA,"solo","naming_test","pre",29
"ship","entrainment","boat","ship","MATCH","solo","naming_test","pre",30
"soldier","valence","gunman","soldier","MATCH","solo","naming_test","pre",31
"doctor","participants_turn",NA,NA,NA,"solo","naming_test","pre",32
"baby","valence","kid","sprog","CHANGE","solo","naming_test","pre",33
"pipe","participants_turn",NA,NA,NA,"solo","naming_test","pre",34
"cop","participants_turn",NA,NA,NA,"solo","naming_test","pre",35
"church","valence","cathedral","church","CHANGE","solo","naming_test","pre",36
"road","valence","highway","avenue","CHANGE","solo","naming_test","pre",37
"rabbit","entrainment","bunny","rabbit","CHANGE","solo","naming_test","pre",38
"king","valence","electric chair","king","CHANGE","solo","naming_test","pre",39
"woman","entrainment","lady","woman","MATCH","solo","naming_test","pre",40
"marijuana","valence","weed","leaf","MATCH","solo","naming_test","pre",41
"flower","participants_turn",NA,NA,NA,"solo","naming_test","pre",42
"priest","entrainment","priest","pastor","MATCH","solo","naming_test","pre",43
"cart","participants_turn",NA,NA,NA,"solo","naming_test","pre",44
"cattle","entrainment","cattle","cows","CHANGE","solo","naming_test","pre",45
"frog","participants_turn",NA,NA,NA,"solo","naming_test","pre",46
"beans","participants_turn",NA,NA,NA,"solo","naming_test","pre",47
"touchpad","entrainment","touchscreen","tablet","MATCH","solo","naming_test","pre",48
"drink","participants_turn",NA,NA,NA,"solo","naming_test","pre",49
"door","participants_turn",NA,NA,NA,"solo","naming_test","pre",50
"barrels","participants_turn",NA,NA,NA,"solo","naming_test","pre",51
"tree","participants_turn",NA,NA,NA,"solo","naming_test","pre",52
"wine","participants_turn",NA,NA,NA,"solo","naming_test","pre",53
"city","valence","town","buildings","CHANGE","solo","naming_test","pre",54
"couch","entrainment","sofa","couch","MATCH","solo","naming_test","pre",55
"bench","participants_turn",NA,NA,NA,"solo","naming_test","pre",56
"Q45","valence","concrete","pizza slice","MATCH","solo","naming_test","pre",57
"microbes","valence","germs","microorganisms","CHANGE","solo","naming_test","pre",58
"peach","participants_turn",NA,NA,NA,"solo","naming_test","pre",59
"dirt","valence","sand","gravel","CHANGE","solo","naming_test","pre",60
"clothes","participants_turn",NA,NA,NA,"solo","naming_test","pre",61
