"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
NA,NA,NA,NA,NA,"solo","naming_test","pre",21
"mouse","valence","rat","mouse","MATCH","solo","naming_test","pre",22
"soldier","valence","gunman","soldier","MATCH","solo","naming_test","pre",23
"bench","participants_turn",NA,NA,NA,"solo","naming_test","pre",24
"wine","participants_turn",NA,NA,NA,"solo","naming_test","pre",25
"frog","participants_turn",NA,NA,NA,"solo","naming_test","pre",26
"cattle","entrainment","cows","cattle","CHANGE","solo","naming_test","pre",27
"boot","valence","shoe","work boot","CHANGE","solo","naming_test","pre",28
"pipe","participants_turn",NA,NA,NA,"solo","naming_test","pre",29
"pigeon","participants_turn",NA,NA,NA,"solo","naming_test","pre",30
"teacher","entrainment","lecturer","teacher","CHANGE","solo","naming_test","pre",31
"artist","entrainment","painter","artist","CHANGE","solo","naming_test","pre",32
"king","valence","king","electric chair","CHANGE","solo","naming_test","pre",33
"flower","participants_turn",NA,NA,NA,"solo","naming_test","pre",34
"city","valence","town","buildings","CHANGE","solo","naming_test","pre",35
"rocks","participants_turn",NA,NA,NA,"solo","naming_test","pre",36
"priest","entrainment","pastor","priest","CHANGE","solo","naming_test","pre",37
"church","valence","cathedral","church","CHANGE","solo","naming_test","pre",38
"baby","valence","sprog","kid","MATCH","solo","naming_test","pre",39
"bat","participants_turn",NA,NA,NA,"solo","naming_test","pre",40
"beans","participants_turn",NA,NA,NA,"solo","naming_test","pre",41
"car","participants_turn",NA,NA,NA,"solo","naming_test","pre",42
"door","participants_turn",NA,NA,NA,"solo","naming_test","pre",43
"plate","participants_turn",NA,NA,NA,"solo","naming_test","pre",44
"woman","entrainment","woman","lady","CHANGE","solo","naming_test","pre",45
"money","entrainment","money","coins","MATCH","solo","naming_test","pre",46
"cop","participants_turn",NA,NA,NA,"solo","naming_test","pre",47
"sphere","entrainment","sphere","ball","MATCH","solo","naming_test","pre",48
"fireplace","participants_turn",NA,NA,NA,"solo","naming_test","pre",49
"flag","participants_turn",NA,NA,NA,"solo","naming_test","pre",50
"cave","participants_turn",NA,NA,NA,"solo","naming_test","pre",51
"cleaner","participants_turn",NA,NA,NA,"solo","naming_test","pre",52
"cook","entrainment","chef","cook","MATCH","solo","naming_test","pre",53
"tree","participants_turn",NA,NA,NA,"solo","naming_test","pre",54
"parking sp","participants_turn",NA,NA,NA,"solo","naming_test","pre",55
"people","valence","crowd","people","MATCH","solo","naming_test","pre",56
"dunes","participants_turn",NA,NA,NA,"solo","naming_test","pre",57
"router","participants_turn",NA,NA,NA,"solo","naming_test","pre",58
"recycling","valence","rubbish bin","recycling bin","MATCH","solo","naming_test","pre",59
"house","valence","home","house","CHANGE","solo","naming_test","pre",60
"ship","entrainment","boat","ship","CHANGE","solo","naming_test","pre",61
