"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
NA,NA,NA,NA,NA,"solo","naming_test","pre",21
"socket","valence","face","socket","CHANGE","solo","naming_test","pre",22
"beans","participants_turn",NA,NA,NA,"solo","naming_test","pre",23
"cup","entrainment","mug","cup","MATCH","solo","naming_test","pre",24
"cop","participants_turn",NA,NA,NA,"solo","naming_test","pre",25
"tree","participants_turn",NA,NA,NA,"solo","naming_test","pre",26
"dog","valence","dog","wolf","CHANGE","solo","naming_test","pre",27
"videogame","participants_turn",NA,NA,NA,"solo","naming_test","pre",28
"sphere","entrainment","sphere","ball","CHANGE","solo","naming_test","pre",29
"cross","participants_turn",NA,NA,NA,"solo","naming_test","pre",30
"USB","entrainment","usb stick","memory stick","CHANGE","solo","naming_test","pre",31
"knife","entrainment","dagger","knife","CHANGE","solo","naming_test","pre",32
"touchpad","entrainment","tablet","touchscreen","CHANGE","solo","naming_test","pre",33
"barrels","participants_turn",NA,NA,NA,"solo","naming_test","pre",34
"drink","participants_turn",NA,NA,NA,"solo","naming_test","pre",35
"wine","participants_turn",NA,NA,NA,"solo","naming_test","pre",36
"microbes","valence","germs","microorganisms","MATCH","solo","naming_test","pre",37
"house","valence","home","house","MATCH","solo","naming_test","pre",38
"factory","valence","factory","pollution","MATCH","solo","naming_test","pre",39
"runners","participants_turn",NA,NA,NA,"solo","naming_test","pre",40
"parking sp","participants_turn",NA,NA,NA,"solo","naming_test","pre",41
"pigeon","participants_turn",NA,NA,NA,"solo","naming_test","pre",42
"road","valence","avenue","highway","CHANGE","solo","naming_test","pre",43
"flag","participants_turn",NA,NA,NA,"solo","naming_test","pre",44
"ship","entrainment","boat","ship","MATCH","solo","naming_test","pre",45
"moth","valence","butterfly","insect","CHANGE","solo","naming_test","pre",46
"programmer","participants_turn",NA,NA,NA,"solo","naming_test","pre",47
"city","valence","buildings","town","CHANGE","solo","naming_test","pre",48
"priest","entrainment","priest","pastor","CHANGE","solo","naming_test","pre",49
"cook","entrainment","chef","cook","CHANGE","solo","naming_test","pre",50
"bat","participants_turn",NA,NA,NA,"solo","naming_test","pre",51
"dunes","participants_turn",NA,NA,NA,"solo","naming_test","pre",52
"drugs","valence","drugs","medicine","CHANGE","solo","naming_test","pre",53
"frog","participants_turn",NA,NA,NA,"solo","naming_test","pre",54
"dirt","valence","sand","gravel","MATCH","solo","naming_test","pre",55
"rocks","participants_turn",NA,NA,NA,"solo","naming_test","pre",56
"mouse","valence","rat","mouse","MATCH","solo","naming_test","pre",57
"hen","participants_turn",NA,NA,NA,"solo","naming_test","pre",58
"boot","valence","shoe","work boot","CHANGE","solo","naming_test","pre",59
"cart","participants_turn",NA,NA,NA,"solo","naming_test","pre",60
"bench","participants_turn",NA,NA,NA,"solo","naming_test","pre",61
