"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
NA,NA,NA,NA,NA,"solo","naming_test","pre",21
"doctor","participants_turn",NA,NA,NA,"solo","naming_test","pre",22
"touchpad","entrainment","tablet","touchscreen","CHANGE","solo","naming_test","pre",23
"bat","participants_turn",NA,NA,NA,"solo","naming_test","pre",24
"car","participants_turn",NA,NA,NA,"solo","naming_test","pre",25
"soldier","valence","gunman","soldier","MATCH","solo","naming_test","pre",26
"barrels","participants_turn",NA,NA,NA,"solo","naming_test","pre",27
"dunes","participants_turn",NA,NA,NA,"solo","naming_test","pre",28
"Q60","participants_turn",NA,NA,NA,"solo","naming_test","pre",29
"boot","valence","work boot","shoe","MATCH","solo","naming_test","pre",30
"drugs","valence","drugs","medicine","CHANGE","solo","naming_test","pre",31
"couch","entrainment","couch","sofa","MATCH","solo","naming_test","pre",32
"rabbit","entrainment","rabbit","bunny","MATCH","solo","naming_test","pre",33
"microbes","valence","microorganisms","germs","CHANGE","solo","naming_test","pre",34
"Q45","valence","concrete","pizza slice","MATCH","solo","naming_test","pre",35
"router","participants_turn",NA,NA,NA,"solo","naming_test","pre",36
"cross","participants_turn",NA,NA,NA,"solo","naming_test","pre",37
"USB","entrainment","usb stick","memory stick","MATCH","solo","naming_test","pre",38
"baby","valence","kid","sprog","MATCH","solo","naming_test","pre",39
"cave","participants_turn",NA,NA,NA,"solo","naming_test","pre",40
"knife","entrainment","dagger","knife","MATCH","solo","naming_test","pre",41
"beach","participants_turn",NA,NA,NA,"solo","naming_test","pre",42
"bench","participants_turn",NA,NA,NA,"solo","naming_test","pre",43
"mouse","valence","mouse","rat","CHANGE","solo","naming_test","pre",44
"moth","valence","butterfly","insect","MATCH","solo","naming_test","pre",45
"parking sp","participants_turn",NA,NA,NA,"solo","naming_test","pre",46
"cart","participants_turn",NA,NA,NA,"solo","naming_test","pre",47
"beans","participants_turn",NA,NA,NA,"solo","naming_test","pre",48
"socket","valence","face","socket","CHANGE","solo","naming_test","pre",49
"branch","participants_turn",NA,NA,NA,"solo","naming_test","pre",50
"artist","entrainment","painter","artist","MATCH","solo","naming_test","pre",51
"frog","participants_turn",NA,NA,NA,"solo","naming_test","pre",52
"violin","participants_turn",NA,NA,NA,"solo","naming_test","pre",53
"pigeon","participants_turn",NA,NA,NA,"solo","naming_test","pre",54
"rocks","participants_turn",NA,NA,NA,"solo","naming_test","pre",55
"church","valence","cathedral","church","MATCH","solo","naming_test","pre",56
"money","entrainment","money","coins","CHANGE","solo","naming_test","pre",57
"woman","entrainment","lady","woman","CHANGE","solo","naming_test","pre",58
"pipe","participants_turn",NA,NA,NA,"solo","naming_test","pre",59
"runners","participants_turn",NA,NA,NA,"solo","naming_test","pre",60
"cleaner","participants_turn",NA,NA,NA,"solo","naming_test","pre",61
