"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
NA,NA,NA,NA,NA,"solo","naming_test","pre",21
"mouse","valence","mouse","rat","MATCH","solo","naming_test","pre",22
"thief","entrainment","thief","robber","CHANGE","solo","naming_test","pre",23
"fireplace","participants_turn",NA,NA,NA,"solo","naming_test","pre",24
"city","valence","town","buildings","CHANGE","solo","naming_test","pre",25
"programmer","participants_turn",NA,NA,NA,"solo","naming_test","pre",26
"plate","participants_turn",NA,NA,NA,"solo","naming_test","pre",27
"moth","valence","butterfly","insect","CHANGE","solo","naming_test","pre",28
"wine","participants_turn",NA,NA,NA,"solo","naming_test","pre",29
"recycling","valence","rubbish bin","recycling bin","MATCH","solo","naming_test","pre",30
"baby","valence","kid","sprog","MATCH","solo","naming_test","pre",31
"athlete","participants_turn",NA,NA,NA,"solo","naming_test","pre",32
"router","participants_turn",NA,NA,NA,"solo","naming_test","pre",33
"snake","entrainment","serpent","snake","MATCH","solo","naming_test","pre",34
"beach","participants_turn",NA,NA,NA,"solo","naming_test","pre",35
"peach","participants_turn",NA,NA,NA,"solo","naming_test","pre",36
"robot","entrainment","robot","android","MATCH","solo","naming_test","pre",37
"teacher","entrainment","teacher","lecturer","MATCH","solo","naming_test","pre",38
"violin","participants_turn",NA,NA,NA,"solo","naming_test","pre",39
"car","participants_turn",NA,NA,NA,"solo","naming_test","pre",40
"berries","participants_turn",NA,NA,NA,"solo","naming_test","pre",41
"clothes","participants_turn",NA,NA,NA,"solo","naming_test","pre",42
"rabbit","entrainment","rabbit","bunny","CHANGE","solo","naming_test","pre",43
"parking sp","participants_turn",NA,NA,NA,"solo","naming_test","pre",44
"cup","entrainment","mug","cup","MATCH","solo","naming_test","pre",45
"priest","entrainment","pastor","priest","MATCH","solo","naming_test","pre",46
"cop","participants_turn",NA,NA,NA,"solo","naming_test","pre",47
"beans","participants_turn",NA,NA,NA,"solo","naming_test","pre",48
"alligator","entrainment","crocodile","alligator","CHANGE","solo","naming_test","pre",49
"sphere","entrainment","sphere","ball","CHANGE","solo","naming_test","pre",50
"house","valence","house","home","CHANGE","solo","naming_test","pre",51
"marijuana","valence","leaf","weed","MATCH","solo","naming_test","pre",52
"laptop","entrainment","computer","laptop","MATCH","solo","naming_test","pre",53
"cleaner","participants_turn",NA,NA,NA,"solo","naming_test","pre",54
"runners","participants_turn",NA,NA,NA,"solo","naming_test","pre",55
"Q60","participants_turn",NA,NA,NA,"solo","naming_test","pre",56
"couch","entrainment","couch","sofa","MATCH","solo","naming_test","pre",57
"Q45","valence","concrete","pizza slice","CHANGE","solo","naming_test","pre",58
"floppy","participants_turn",NA,NA,NA,"solo","naming_test","pre",59
"cook","entrainment","cook","chef","CHANGE","solo","naming_test","pre",60
"boot","valence","shoe","work boot","CHANGE","solo","naming_test","pre",61
