"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
NA,NA,NA,NA,NA,"solo","naming_test","pre",21
"violin","participants_turn",NA,NA,NA,"solo","naming_test","pre",22
"house","valence","home","house","CHANGE","solo","naming_test","pre",23
"snake","entrainment","serpent","snake","CHANGE","solo","naming_test","pre",24
"alligator","entrainment","alligator","crocodile","CHANGE","solo","naming_test","pre",25
"drink","participants_turn",NA,NA,NA,"solo","naming_test","pre",26
"recycling","valence","recycling bin","rubbish bin","MATCH","solo","naming_test","pre",27
"factory","valence","pollution","factory","CHANGE","solo","naming_test","pre",28
"USB","entrainment","memory stick","usb stick","MATCH","solo","naming_test","pre",29
"dirt","valence","gravel","sand","CHANGE","solo","naming_test","pre",30
"knife","entrainment","dagger","knife","CHANGE","solo","naming_test","pre",31
"peach","participants_turn",NA,NA,NA,"solo","naming_test","pre",32
"cook","entrainment","cook","chef","CHANGE","solo","naming_test","pre",33
"hen","participants_turn",NA,NA,NA,"solo","naming_test","pre",34
"frog","participants_turn",NA,NA,NA,"solo","naming_test","pre",35
"road","valence","highway","avenue","CHANGE","solo","naming_test","pre",36
"bat","participants_turn",NA,NA,NA,"solo","naming_test","pre",37
"car","participants_turn",NA,NA,NA,"solo","naming_test","pre",38
"cross","participants_turn",NA,NA,NA,"solo","naming_test","pre",39
"branch","participants_turn",NA,NA,NA,"solo","naming_test","pre",40
"robot","entrainment","robot","android","MATCH","solo","naming_test","pre",41
"church","valence","cathedral","church","CHANGE","solo","naming_test","pre",42
"money","entrainment","coins","money","MATCH","solo","naming_test","pre",43
"people","valence","crowd","people","MATCH","solo","naming_test","pre",44
"cave","participants_turn",NA,NA,NA,"solo","naming_test","pre",45
"bench","participants_turn",NA,NA,NA,"solo","naming_test","pre",46
"boot","valence","shoe","work boot","CHANGE","solo","naming_test","pre",47
"flower","participants_turn",NA,NA,NA,"solo","naming_test","pre",48
"runners","participants_turn",NA,NA,NA,"solo","naming_test","pre",49
"artist","entrainment","artist","painter","MATCH","solo","naming_test","pre",50
"berries","participants_turn",NA,NA,NA,"solo","naming_test","pre",51
"Q60","participants_turn",NA,NA,NA,"solo","naming_test","pre",52
"door","participants_turn",NA,NA,NA,"solo","naming_test","pre",53
"moth","valence","butterfly","insect","MATCH","solo","naming_test","pre",54
"microbes","valence","microorganisms","germs","MATCH","solo","naming_test","pre",55
"cart","participants_turn",NA,NA,NA,"solo","naming_test","pre",56
"athlete","participants_turn",NA,NA,NA,"solo","naming_test","pre",57
"cop","participants_turn",NA,NA,NA,"solo","naming_test","pre",58
"barrels","participants_turn",NA,NA,NA,"solo","naming_test","pre",59
"Q45","valence","pizza slice","concrete","MATCH","solo","naming_test","pre",60
"rabbit","entrainment","bunny","rabbit","CHANGE","solo","naming_test","pre",61
