"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"axe","practice",NA,NA,NA,"solo","naming_test","tutorial",1
"graves","practice",NA,NA,NA,"solo","naming_test","tutorial",2
"man","practice",NA,NA,NA,"solo","naming_test","tutorial",3
"bat","practice",NA,NA,NA,"solo","naming_test","tutorial",4
"pigeon","practice",NA,NA,NA,"solo","naming_test","tutorial",5
"door","practice",NA,NA,NA,"solo","naming_test","tutorial",6
"wine","practice",NA,NA,NA,"solo","naming_test","tutorial",7
"cop","practice",NA,NA,NA,"solo","naming_test","tutorial",8
"doctor","practice",NA,NA,NA,"solo","naming_test","tutorial",9
"cave","practice",NA,NA,NA,"solo","naming_test","tutorial",10
"videogame","practice",NA,NA,NA,"solo","naming_test","tutorial",11
"runners","practice",NA,NA,NA,"solo","naming_test","tutorial",12
"peach","practice",NA,NA,NA,"solo","naming_test","tutorial",13
"frog","practice",NA,NA,NA,"solo","naming_test","tutorial",14
"plate","practice",NA,NA,NA,"solo","naming_test","tutorial",15
"cleaner","practice",NA,NA,NA,"solo","naming_test","tutorial",16
"tree","practice",NA,NA,NA,"solo","naming_test","tutorial",17
"cart","practice",NA,NA,NA,"solo","naming_test","tutorial",18
"car","practice",NA,NA,NA,"solo","naming_test","tutorial",19
"router","practice",NA,NA,NA,"solo","naming_test","tutorial",20
NA,NA,NA,NA,NA,"solo","naming_test","pre",21
"knife","entrainment","knife","dagger","MATCH","solo","naming_test","pre",22
"ship","entrainment","ship","boat","CHANGE","solo","naming_test","pre",23
"videogame","participants_turn",NA,NA,NA,"solo","naming_test","pre",24
"socket","valence","socket","face","CHANGE","solo","naming_test","pre",25
"priest","entrainment","priest","pastor","CHANGE","solo","naming_test","pre",26
"money","entrainment","coins","money","CHANGE","solo","naming_test","pre",27
"drugs","valence","drugs","medicine","MATCH","solo","naming_test","pre",28
"pigeon","participants_turn",NA,NA,NA,"solo","naming_test","pre",29
"sphere","entrainment","sphere","ball","MATCH","solo","naming_test","pre",30
"beans","participants_turn",NA,NA,NA,"solo","naming_test","pre",31
"laptop","entrainment","computer","laptop","MATCH","solo","naming_test","pre",32
"rabbit","entrainment","rabbit","bunny","MATCH","solo","naming_test","pre",33
"cross","participants_turn",NA,NA,NA,"solo","naming_test","pre",34
"recycling","valence","recycling bin","rubbish bin","CHANGE","solo","naming_test","pre",35
"robot","entrainment","android","robot","CHANGE","solo","naming_test","pre",36
"cleaner","participants_turn",NA,NA,NA,"solo","naming_test","pre",37
"marijuana","valence","leaf","weed","MATCH","solo","naming_test","pre",38
"Q60","participants_turn",NA,NA,NA,"solo","naming_test","pre",39
"baby","valence","sprog","kid","CHANGE","solo","naming_test","pre",40
"teacher","entrainment","teacher","lecturer","MATCH","solo","naming_test","pre",41
"people","valence","crowd","people","MATCH","solo","naming_test","pre",42
"cave","participants_turn",NA,NA,NA,"solo","naming_test","pre",43
"drink","participants_turn",NA,NA,NA,"solo","naming_test","pre",44
"cart","participants_turn",NA,NA,NA,"solo","naming_test","pre",45
"router","participants_turn",NA,NA,NA,"solo","naming_test","pre",46
"rocks","participants_turn",NA,NA,NA,"solo","naming_test","pre",47
"violin","participants_turn",NA,NA,NA,"solo","naming_test","pre",48
"mouse","valence","rat","mouse","MATCH","solo","naming_test","pre",49
"wine","participants_turn",NA,NA,NA,"solo","naming_test","pre",50
"barrels","participants_turn",NA,NA,NA,"solo","naming_test","pre",51
"tree","participants_turn",NA,NA,NA,"solo","naming_test","pre",52
"dog","valence","dog","wolf","MATCH","solo","naming_test","pre",53
"hen","participants_turn",NA,NA,NA,"solo","naming_test","pre",54
"doctor","participants_turn",NA,NA,NA,"solo","naming_test","pre",55
"cup","entrainment","mug","cup","MATCH","solo","naming_test","pre",56
"berries","participants_turn",NA,NA,NA,"solo","naming_test","pre",57
"soldier","valence","soldier","gunman","CHANGE","solo","naming_test","pre",58
"programmer","participants_turn",NA,NA,NA,"solo","naming_test","pre",59
"boot","valence","work boot","shoe","CHANGE","solo","naming_test","pre",60
"frog","participants_turn",NA,NA,NA,"solo","naming_test","pre",61
