"ref","count"
"soldier","14"
"cattle","12"
"referee","12"
"floppy","11"
"priest","11"
"shoe","11"
"videogame","11"
"Q45","10"
"athlete","10"
"baby","10"
"belly","10"
"cup","10"
"dog","10"
"king","10"
"man","10"
"teacher","10"
"wine","10"
"city","9"
"computer","9"
"fireplace","9"
"microbes","9"
"ocean","9"
"people","9"
"programmer","9"
"road","9"
"ship","9"
"snack","9"
"socket","9"
"RAM","8"
"beach","8"
"bee","8"
"berries","8"
"dirt","8"
"kids","8"
"money","8"
"nuke plant","8"
"pipe","8"
"snake","8"
"touchpad","8"
"barrels","7"
"beans","7"
"boot","7"
"cop","7"
"door","7"
"drugs","7"
"factory","7"
"flower","7"
"frog","7"
"gun","7"
"house","7"
"marijuana","7"
"parking sp","7"
"peach","7"
"rave","7"
"recycling","7"
"thief","7"
"violin","7"
"Q60","6"
"bat","6"
"branch","6"
"car","6"
"couch","6"
"drink","6"
"hen","6"
"moth","6"
"mouse","6"
"robot","6"
"rocks","6"
"sphere","6"
"woman","6"
"USB","5"
"axe","5"
"beetle","5"
"bench","5"
"cart","5"
"cave","5"
"cleaner","5"
"clothes","5"
"cook","5"
"doctor","5"
"eraser","5"
"knife","5"
"router","5"
"runners","5"
"sink","5"
"alligator","4"
"artist","4"
"cross","4"
"dunes","4"
"jacket","4"
"pigeon","4"
"plate","4"
"rabbit","4"
"canoe","3"
"church","3"
"flag","3"
"laptop","3"
"tree","2"
"q45","1"
"q60","1"
"ram","1"
"usb","1"
