pId,cId,effect, count
149771,1A,CHANGE,16
149771,1A,MATCH,23
149771,1A,NRCHANGE,10
149771,1A,NRMATCH,30
702270,1B,CHANGE,17
702270,1B,MATCH,23
702270,1B,NRCHANGE,6
702270,1B,NRMATCH,33
607196,1C,CHANGE,21
607196,1C,MATCH,19
607196,1C,NRCHANGE,13
607196,1C,NRMATCH,26
519903,1D,CHANGE,8
519903,1D,MATCH,32
519903,1D,NRCHANGE,7
519903,1D,NRMATCH,32
980973,1E,CHANGE,18
980973,1E,MATCH,23
980973,1E,NRCHANGE,9
980973,1E,NRMATCH,29
806611,1F,CHANGE,17
806611,1F,MATCH,24
806611,1F,NRCHANGE,8
806611,1F,NRMATCH,31
907596,1G,CHANGE,23
907596,1G,MATCH,17
907596,1G,NRCHANGE,7
907596,1G,NRMATCH,32
819229,1H,CHANGE,15
819229,1H,MATCH,24
819229,1H,NRCHANGE,7
819229,1H,NRMATCH,33
409561,1I,CHANGE,12
409561,1I,MATCH,28
409561,1I,NRCHANGE,12
409561,1I,NRMATCH,27
078253,1J,CHANGE,8
078253,1J,MATCH,32
078253,1J,NRCHANGE,10
078253,1J,NRMATCH,29
887007,1K,CHANGE,7
887007,1K,MATCH,33
887007,1K,NRCHANGE,2
887007,1K,NRMATCH,37
025781,1L,CHANGE,14
025781,1L,MATCH,26
025781,1L,NRCHANGE,7
025781,1L,NRMATCH,32
652815,1M,CHANGE,21
652815,1M,MATCH,18
652815,1M,NRCHANGE,11
652815,1M,NRMATCH,29
216808,1N,CHANGE,17
216808,1N,MATCH,22
216808,1N,NRCHANGE,7
216808,1N,NRMATCH,33
067154,1O,CHANGE,12
067154,1O,MATCH,28
067154,1O,NRCHANGE,8
067154,1O,NRMATCH,31
655590,1P,CHANGE,22
655590,1P,MATCH,19
655590,1P,NRCHANGE,13
655590,1P,NRMATCH,25
310553,1Q,CHANGE,7
310553,1Q,MATCH,34
310553,1Q,NRCHANGE,11
310553,1Q,NRMATCH,27
429131,1R,CHANGE,16
429131,1R,MATCH,24
429131,1R,NRCHANGE,5
429131,1R,NRMATCH,34
040758,2A,CHANGE,20
040758,2A,MATCH,19
040758,2A,NRCHANGE,8
040758,2A,NRMATCH,32
978371,2B,CHANGE,16
978371,2B,MATCH,24
978371,2B,NRCHANGE,8
978371,2B,NRMATCH,31
384698,2C,CHANGE,14
384698,2C,MATCH,26
384698,2C,NRCHANGE,9
384698,2C,NRMATCH,30
607029,2D,CHANGE,17
607029,2D,MATCH,23
607029,2D,NRCHANGE,8
607029,2D,NRMATCH,31
116583,2E,CHANGE,8
116583,2E,MATCH,33
116583,2E,NRCHANGE,8
116583,2E,NRMATCH,30
627947,2F,CHANGE,14
627947,2F,MATCH,26
627947,2F,NRCHANGE,9
627947,2F,NRMATCH,30
755289,2G,CHANGE,13
755289,2G,MATCH,28
755289,2G,NRCHANGE,17
755289,2G,NRMATCH,22
985648,2H,CHANGE,16
985648,2H,MATCH,23
985648,2H,NRCHANGE,13
985648,2H,NRMATCH,27
395550,2I,CHANGE,9
395550,2I,MATCH,31
395550,2I,NRCHANGE,10
395550,2I,NRMATCH,29
149537,2J,CHANGE,7
149537,2J,MATCH,36
149537,2J,NRCHANGE,4
149537,2J,NRMATCH,34
490503,2K,CHANGE,12
490503,2K,MATCH,28
490503,2K,NRCHANGE,9
490503,2K,NRMATCH,30
780407,3A,CHANGE,19
780407,3A,MATCH,20
780407,3A,NRCHANGE,6
780407,3A,NRMATCH,34
104915,3B,CHANGE,19
104915,3B,MATCH,21
104915,3B,NRCHANGE,11
104915,3B,NRMATCH,29
370800,3C,CHANGE,25
370800,3C,MATCH,16
370800,3C,NRCHANGE,5
370800,3C,NRMATCH,34
863623,3D,CHANGE,20
863623,3D,MATCH,20
863623,3D,NRCHANGE,8
863623,3D,NRMATCH,31
987737,3E,CHANGE,17
987737,3E,MATCH,24
987737,3E,NRCHANGE,9
987737,3E,NRMATCH,29
984191,3F,CHANGE,19
984191,3F,MATCH,21
984191,3F,NRCHANGE,7
984191,3F,NRMATCH,32
181542,3G,CHANGE,13
181542,3G,MATCH,27
181542,3G,NRCHANGE,6
181542,3G,NRMATCH,33
667888,3H,CHANGE,23
667888,3H,MATCH,16
667888,3H,NRCHANGE,6
667888,3H,NRMATCH,34
057248,3I,CHANGE,13
057248,3I,MATCH,27
057248,3I,NRCHANGE,10
057248,3I,NRMATCH,29
877813,3J,CHANGE,13
877813,3J,MATCH,27
877813,3J,NRCHANGE,9
877813,3J,NRMATCH,30
690205,3K,CHANGE,20
