pId,cId,preWord,robotWord,postWord,symbolName,strategy,effect
149771,1A,cleaner,NULL,cleaner,cleaner,NA,NRMATCH
149771,1A,cello,NULL,cello,violin,NA,NRMATCH
149771,1A,OTHER,NULL,plate,plate,NA,NRCHANGE
149771,1A,OTHER,NULL,rocks,rocks,NA,NRCHANGE
149771,1A,fireplace,NULL,fireplace,fireplace,NA,NRMATCH
149771,1A,OTHER,NULL,cave,cave,NA,NRCHANGE
149771,1A,OTHER,"'sphere'",sphere,sphere,CHANGE,CHANGE
149771,1A,OTHER,"'cup'",OTHER,cup,CHANGE,MATCH
149771,1A,ship,"'boat'",ship,ship,CHANGE,MATCH
149771,1A,frog,NULL,frog,frog,NA,NRMATCH
149771,1A,OTHER,NULL,OTHER,router,NA,NRMATCH
149771,1A,OTHER,"'germs'",germs,microbes,CHANGE,CHANGE
149771,1A,doctor,NULL,doctor,doctor,NA,NRMATCH
149771,1A,"floppy disk",NULL,"floppy disk",floppy,NA,NRMATCH
149771,1A,OTHER,NULL,OTHER,drink,NA,NRMATCH
149771,1A,OTHER,NULL,umbrella,beach,NA,NRCHANGE
149771,1A,city,"'buildings'",city,city,CHANGE,MATCH
149771,1A,house,"'house'",house,house,MATCH,MATCH
149771,1A,"dollar coins","'money'",coins,money,CHANGE,CHANGE
149771,1A,artist,"'artist'",artist,artist,MATCH,MATCH
149771,1A,OTHER,NULL,OTHER,programmer,NA,NRMATCH
149771,1A,OTHER,"'pizza slice'","pizza slice",Q45,CHANGE,CHANGE
149771,1A,dagger,"'dagger'",dagger,knife,MATCH,MATCH
149771,1A,priest,"'priest'",,,MATCH,MATCH
149771,1A,chef,"'cook'",chef,cook,CHANGE,MATCH
149771,1A,"park bench",NULL,"park bench",bench,NA,NRMATCH
149771,1A,OTHER,NULL,door,door,NA,NRCHANGE
149771,1A,OTHER,NULL,clothes,clothes,NA,NRCHANGE
149771,1A,snake,"'serpent'",snake,snake,CHANGE,MATCH
149771,1A,OTHER,NULL,OTHER,runners,NA,NRMATCH
149771,1A,barrels,NULL,barrels,barrels,NA,NRMATCH
149771,1A,flower,NULL,flower,flower,NA,NRMATCH
149771,1A,woman,"'woman'",woman,woman,MATCH,MATCH
149771,1A,cop,NULL,cop,cop,NA,NRMATCH
149771,1A,pills,"'medicine'",pills,drugs,CHANGE,MATCH
149771,1A,butterfly,"'butterfly'",butterfly,moth,MATCH,MATCH
149771,1A,bat,NULL,bat,bat,NA,NRMATCH
149771,1A,OTHER,NULL,OTHER,sink,NA,NRMATCH
149771,1A,dog,"'dog'",dog,dog,MATCH,MATCH
149771,1A,bird,NULL,bird,pigeon,NA,NRMATCH
149771,1A,tree,NULL,tree,tree,NA,NRMATCH
149771,1A,OTHER,NULL,OTHER,pipe,NA,NRMATCH
149771,1A,apple,NULL,apple,peach,NA,NRMATCH
149771,1A,OTHER,NULL,pacman,videogame,NA,NRCHANGE
149771,1A,ipad,"'touchscreen'",ipad,touchpad,CHANGE,MATCH
149771,1A,laptop,"'computer'",laptop,laptop,CHANGE,MATCH
149771,1A,rat,"'mouse'",OTHER,mouse,CHANGE,CHANGE
149771,1A,"usb drive","'usb stick'","usb drive",USB,CHANGE,MATCH
149771,1A,cows,"'cows'",cows,cattle,MATCH,MATCH
149771,1A,OTHER,"'pollution'",OTHER,factory,CHANGE,MATCH
149771,1A,OTHER,"'thief'",OTHER,thief,CHANGE,MATCH
149771,1A,couch,"'couch'",sofa,couch,MATCH,CHANGE
149771,1A,flag,NULL,flag,flag,NA,NRMATCH
149771,1A,Terrorist,"'soldier'",soldier,soldier,CHANGE,CHANGE
149771,1A,OTHER,"'king'",king,king,CHANGE,CHANGE
149771,1A,cross,NULL,cross,cross,NA,NRMATCH
149771,1A,"group of people","'people'",people,people,CHANGE,CHANGE
149771,1A,OTHER,"'gravel'",dirt,dirt,CHANGE,CHANGE
149771,1A,boot,"'work boot'",boot,boot,CHANGE,MATCH
149771,1A,trolley,NULL,trolley,cart,NA,NRMATCH
149771,1A,fruit,NULL,OTHER,berries,NA,NRCHANGE
149771,1A,OTHER,NULL,OTHER,dunes,NA,NRMATCH
