ABDOMEN,586,548
ACCORDION,586,576
ACROBAT,566,583
ADDER,615,583
ADMIRAL,528,543
AERIAL,517,567
AIRSHIP,585,545
AISLE,509,528
ALBATROSS,621,583
ALCOHOL,618,598
ALLEY,557,572
ALLIGATOR,624,627
ALUMINIUM,600,505
AMBASSADOR,546,545
AMBULANCE,595,627
AMETHYST,573,510
AMMONIA,563,536
AMPLIFIER,564,559
ANCHOR,595,561
ANIMAL,587,575
ANKLE,608,613
APARTMENT,575,556
APPLE,620,637
APPLIANCE,558,554
APRICOT,638,591
ARCH,512,557
ARMOUR,591,536
ARMY,543,578
ARROW,595,619
ARTIST,554,600
ASBESTOS,578,513
ASPARAGUS,608,590
ASPHALT,583,569
ASPIRIN,574,542
ATHLETE,545,591
AUDIENCE,515,555
AUDITORIUM,552,573
AUNT,564,567
AUTOMOBILE,607,628
AVALANCHE,554,596
AVENUE,539,564
AXLE,555,560
BABE,562,562
BABY,589,608
BACTERIA,560,505
BADGE,561,519
BAGPIPE,601,594
BALL,615,622
BALLOON,623,583
BANANA,633,644
BAND,590,579
BANDAGE,639,554
BANDIT,547,562
BANK,573,560
BANKER,547,565
BANNER,567,569
BARK,563,539
BARN,614,589
BARREL,590,602
BASEMENT,585,571
BASIN,602,542
BASKET,606,560
BASS,547,544
BATH,600,601
BATON,570,516
BATTLE,564,597
BAYONET,600,548
BEACH,612,667
BEAK,552,574
BEAM,502,539
BEAN,604,538
BEAR,585,572
BEAST,564,558
BEAVER,589,612
BEDROOM,615,629
BEEF,637,625
BEER,587,598
BEET,645,555
BEETLE,619,640
BEGGAR,533,593
BELL,620,610
BELLY,630,576
BENCH,614,555
BERET,578,517
BERRY,573,551
BEVERAGE,526,565
BILL,528,535
BIRCH,620,561
BIRD,602,614
BISCUIT,574,571
BISHOP,587,524
BLACKSMITH,589,575
BLADE,584,568
BLANKET,622,582
BLISTER,573,616
BLONDE,502,608
BLOOD,613,620
BLOOM,520,524
BLOSSOM,559,618
BLOUSE,640,595
BLUEBELL,621,605
BOAR,558,524
BOARD,565,592
BOAT,637,631
BODY,568,614
BOLT,556,551
BOMB,595,606
BONE,588,567
BOOK,609,591
BOOT,595,604
BOSOM,552,593
BOSS,552,554
BOTTLE,591,619
BOULDER,597,614
BOUQUET,566,599
BOWL,575,579
BRACELET,602,606
BRAIN,556,572
BRAKE,526,511
BRANCH,583,548
BRANDY,595,590
BRASS,577,524
BRAT,501,536
BREAD,622,619
BREAKFAST,576,586
BREAST,580,597
BREEZE,500,560
BRICK,610,574
BRIDGE,623,608
BRIM,509,510
BRISTLE,558,562
BRONZE,568,588
BROOK,611,597
BROOM,613,608
BROTHER,585,589
BROWNIE,535,553
BRUSH,589,570
BUBBLE,563,604
BUCKET,594,586
BUCKLE,568,587
BUILDER,532,551
BULLDOG,626,583
BULLET,595,611
BUNGALOW,564,543
BUSH,585,549
BUTCHER,556,596
BUTTER,618,603
BUTTERFLY,593,624
BUTTON,613,580
CABBAGE,611,573
CABIN,596,582
CABINET,593,524
CAFE,568,625
CAGE,593,585
CAKE,624,624
CALF,592,565
CAMEL,597,561
CAMERA,627,576
CAMP,571,588
CANAL,598,588
CANARY,577,533
CANCER,615,567
CANDLE,565,594
CANDY,602,601
CANE,590,608
CANNON,604,588
CANOE,623,602
CANTEEN,587,540
CAPE,581,566
CAPITOL,529,545
CAPSULE,540,594
CARAVAN,539,562
CARD,565,578
