Word,Emotionmean,n
accident,-4.2,30
accord,0.16,31
accordion,0.28,32
acrobat,1.07,30
actuality,0.48,33
adherence,-0.18,28
advantage,2.37,30
adversity,-0.55,29
advice,2.43,30
agility,2.25,32
aid,3.07,29
airplane,1.31,29
alarm,-2.09,32
albatross,0.13,31
alcohol,-0.92,12
alias,-0.17,29
allegory,0.16,32
alley,-1.92,12
alligator,-1.17,41
altitude,0.38,29
ambulance,-3.41,44
amour,2.29,31
amp,0.57,30
amplifier,0.55,42
amplitude,0.62,29
analogy,0.31,29
anecdote,1.17,29
animal,2.4,40
animation,1.9,31
animosity,-2.2,30
ankle,-0.55,11
announcer,0.93,28
answer,1.45,31
ant,-0.47,40
apartment,1.41,32
ape,0.82,45
apology,2.42,33
applause,3.23,30
apple,1.92,12
appliance,0.46,41
apricot,1.44,43
aptitude,1.29,31
arcade,1.42,31
arch,0.25,12
arm,0.38,40
armadillo,1.25,28
army,-1.72,43
arrow,-0.92,12
arsenal,-2.67,30
artifice,-0.8,30
artillery,-2.23,30
artist,2.82,11
ash,-1.54,41
asparagus,-0.1,42
asphalt,-1,12
assent,0.1,29
astronaut,2.1,31
athlete,2.37,41
atrocity,-3.19,32
attribute,1.73,33
audience,0.95,41
audit,-1.61,33
aunt,2.5,12
authentic,2.26,31
autumn,3.27,44
avalanche,-2.44,32
avenue,-0.08,12
awe,2.42,33
axe,-2.37,41
axiom,-0.27,30
axle,-0.62,13
aye,-0.39,31
baby,3.85,13
bag,0.05,41
bagpipe,1,29
ball,1.51,45
ballerina,1.45,29
balloon,2.1,41
ban,-2.23,30
banana,1.9,41
band,2.48,44
bandage,-2.08,12
bandstand,0.53,30
bang,-1.53,30
banjo,1.03,31
bank,1.83,12
bar,1.31,45
barbarian,-2.83,30
barbecue,2.74,31
bard,0.39,33
barn,0.92,12
barrel,-0.42,12
basement,-0.92,12
basket,0.33,12
bassoon,0.4,30
bath,2.27,11
baton,0.12,32
battle,-3.57,42
bay,2.05,44
beach,4.58,40
bear,0.92,12
beast,-2.17,12
beaver,1.33,12
bed,3.22,41
bedroom,2.92,12
bee,-2.42,43
beef,0.17,12
beer,1.6,43
beggar,-2.67,12
belch,-1.3,33
belief,2.41,29
bell,1.18,40
belle,1.73,30
belly,0.55,11
bench,-0.15,13
bequest,0.31,29
berry,2.42,12
bet,0.27,30
beverage,2.49,39
bicycle,1.52,31
bid,0.67,30
billiards,1.42,31
birch,1,12
bird,1.24,42
biscuit,1.92,12
blackbird,0.13,30
blade,-2.69,13
blanket,2.83,12
blender,0.69,29
blister,-3.05,43
blitz,-0.03,29
blood,-3.5,12
blossom,2.33,12
blouse,1.92,12
blueberry,1.5,32
bluejay,2.13,31
blunder,-1.5,32
blush,1.09,11
board,-0.67,12
boat,1.75,12
body,1.02,41
bolt,-0.8,44
bomb,-4.38,40
bone,-0.55,11
bonfire,3.23,30
book,0.91,11
boomerang,0.9,31
boot,0.12,40
bore,-2.03,29
boss,-2,12
bottle,0.58,12
boulder,-1,12
bouquet,3.38,13
bowl,0.75,12
box,-0.83,12
boxer,0.03,31
boy,2.15,39
bra,2.03,30
bracelet,2.92,13
brain,2.46,13
brandy,-0.33,12
brave,2.97,30
bravery,4.32,28
bread,1.36,11
breakfast,2.23,13
breast,2.58,12
breeze,3.15,13
bribe,-2.73,30
brick,-0.55,11
bridge,0.25,12
bristle,-0.69,13
broccoli,0.2,30
broom,-1.17,12
brother,2.42,12
brush,0.67,12
bubble,2.42,12
bucket,-0.82,11
buckle,-0.09,11
bugle,0.07,28
builder,0.64,11
bull,-1.62,29
bullet,-3.55,42
bunny,2.55,31
burden,-3.41,32
burglar,-4.3,30
bus,0.47,30
business,1.28,32
butcher,-2.09,11
butter,0.31,13
butterfly,3,42
button,0.31,13
buzzer,-0.62,29
bye,-2.47,32
cab,-0.1,31
cabbage,-0.74,42
cabin,3.75,12
cackle,-1.27,33
cafe,1.75,12
cafeteria,0.53,30
cage,-3.08,12
cake,3.73,11
calculus,-2.28,29
calf,0.96,46
calmness,3,32
camel,0.16,43
camera,2.19,43
camp,1.73,11
canal,0.67,12
cancer,-5.38,42
candle,3.55,11
candy,2.92,12
cane,-0.95,42
canine,1.39,31
cannon,-1.89,45
canoe,1.62,13
cap,0.44,32
cape,0.55,11
car,2.07,44
card,1.17,12
career,2.32,31
carnage,-3.63,30
carnival,2.66,32
carousal,1.63,30
carriage,1.15,33
carrot,0.84,44
cart,-0.45,11
cash,3,44
cat,0.93,40
cathedral,1.72,43
cattle,-0.42,12
causality,-1.55,29
cavalry,-0.26,31
cave,-0.77,13
ceiling,-0.17,12
cell,-0.42,12
cellar,-1.64,11
cement,-0.62,13
cereal,1.69,13
chain,-1.27,11
chair,0.36,11
chalk,0.42,43
chapel,2.83,12
charity,2.71,31
charm,2.37,30
cheat,-4.38,29
cheek,1.36,11
cheer,4.32,28
cheese,1.53,30
cheetah,1.41,32
cherry,1.91,43
chest,0.85,13
chestnut,0.44,43
chicken,1.83,12
child,3.27,45
children,3.56,41
chime,1.45,31
chimp,1.8,30
chin,0.18,11
china,1.55,11
chipmunk,1.58,31
chisel,-0.08,12
chocolate,3.61,41
choir,1.27,44
chop,-0.75,12
chord,1.5,32
church,0.55,11
cider,1.83,12
cigar,-0.56,45
cigarette,-4.49,41
circus,1.36,45
city,1.09,11
clang,-0.94,32
clap,2.07,28
clarinet,0.78,40
claw,-2.45,11
clay,0.25,44
cleanness,2.93,29
clemency,0.5,30
cliff,0.17,12
climber,0.81,32
clock,-0.58,12
clothing,2.11,44
cloud,1.82,11
clover,2.58,12
clown,0.75,44
clue,0.86,29
coach,1.58,12
coal,-1.73,11
coast,1.77,13
coat,1.42,12
cockroach,-3.43,28
cocktail,2.23,44
cod,0.29,31
coffee,0.5,44
coffin,-4.73,11
coin,2,12
collar,-0.08,13
college,3.09,44
colonel,0.25,12
comb,0.68,34
commotion,-1.66,29
composure,2.07,30
computer,1.89,27
cone,0.54,13
confetti,3.14,28
conflict,-3.43,30
convent,0,10
coral,1.91,11
cork,0,43
corkscrew,-0.45,33
corn,2,12
corpse,-4.95,41
corridor,-0.92,12
cottage,2,11
cotton,0.08,12
cough,-2.87,31
court,-1.82,11
cow,0.68,41
cowardice,-3.66,29
crab,-0.6,30
cradle,1,11
cranberry,1.03,32
crane,0.86,29
crayon,1.81,31
cream,0.38,13
crib,1.41,32
cricket,0.47,32
croak,-2.12,32
crocodile,-1.79,43
crossbow,-1,32
crow,-1.58,45
crown,2.64,11
crucifix,-1.82,11
cruiser,0.75,12
crystal,2.75,12
cucumber,0.73,30
cue,0.37,30
cult,-4.07,28
cup,1.17,12
curb,-1.23,13
curiosity,2.19,32
curse,-3.48,33
cyclone,-1.84,32
dad,4.23,43
dancer,2.17,42
dandelion,0.86,42
danger,-3.16,32
dare,-0.53,30
dart,0.34,32
dash,0.59,27
dawn,3.08,12
day,2.59,29
daylight,3.43,42
debacle,-1.32,31
deceit,-4.26,31
decision,0.86,28
decree,-0.39,31
deer,1,42
delirium,-1.76,29
demeanour,0.07,30
democracy,2.86,29
denial,-3.39,31
dentist,-2,12
desk,-0.69,13
despise,-4.1,29
dew,1.85,13
diamond,3.38,13
dictation,-1.19,31
dime,1.08,13
dinner,3,12
diploma,4.25,32
disc,1.22,41
discord,-2.28,29
dismissal,-1.1,30
disquiet,-1,27
ditch,-1.17,12
dive,0.46,13
dock,1.62,13
dockyard,0,29
doctor,1.92,12
dog,3.4,42
doll,0.86,44
dollar,2.75,12
dolphin,2.67,30
dome,0.33,12
door,0,11
doorknob,0.28,32
dotage,-0.39,31
dough,1.42,43
dove,3.02,43
downpour,-0.63,30
dread,-3.71,31
dress,1.83,12
drill,-1.5,12
drink,0.27,11
drip,-0.63,30
driver,-0.18,11
drizzle,0.42,12
drug,-1.62,42
drum,1.05,40
drumstick,1.06,33
duck,1.22,41
duckling,1.81,31
due,-2,32
dungeon,-3.42,12
dusk,1.55,11
dynamite,-2.25,28
eagle,1.93,44
ear,0.33,12
earth,3,12
earthworm,-0.5,44
echo,0.83,12
edict,-0.57,30
eel,-1.41,41
egg,0.67,42
eggplant,0.47,32
ego,-1.63,30
elbow,-0.58,12
elephant,0.95,41
elevator,0.13,31
elk,0.48,29
elm,0.85,41
embrace,4.29,42
emerald,3.24,41
emu,0.14,29
enchanter,1.35,31
engine,0.77,43
envelope,0.39,41
envy,-3.3,30
equity,1.5,30
era,0.61,31
err,-1.73,30
escalator,0.97,29
essay,-2.77,13
eternity,1.03,31
etiquette,1.45,31
evening,2.44,41
excuse,-2.48,33
expanse,0.9,31
explosion,-3.06,32
eye,1.31,45
face,1.92,13
factory,-1.77,13
falcon,0.7,30
fallacy,-1.93,30
family,4.58,45
fan,2.18,28
far,-0.97,30
farm,1.22,41
farmyard,1.16,32
fart,-0.68,31
fate,0.66,29
father,4.42,12
faucet,-0.07,30
fawn,2.36,11
feast,3.08,12
feat,1.26,31
fee,-2.7,30
feet,0.45,11
feint,-1.33,33
fence,-0.54,13
ferry,0.83,12
festival,3.37,30
fetish,0.6,30
feudalism,-2.32,28
fever,-3.45,11
fib,-1.6,30
fiddle,1.41,41
figment,0.29,28
finch,0.76,33
finger,0.3,30
fire,-0.83,12
firefly,2.14,29
fireman,2.26,31
fireplace,2.44,39
fireworks,3.9,31
fish,0.33,12
fisherman,1.19,42
flag,2.67,12
flair,0.5,30
flame,-1.64,11
flamingo,2.4,30
flask,0.08,12
flea,-3.09,11
flesh,-2.33,12
flock,0.42,31
flood,-2.83,12
flower,3.83,42
flute,1.36,42
foam,0.42,12
foe,-2.97,30
fog,-0.58,12
folly,-1.59,32
fool,-2.03,31
foot,-0.02,43
football,2.35,43
footwear,1.51,41
forest,2.3,43
forfeit,-2.84,31
fork,0.54,13
fort,-0.33,12
foul,-2.57,30
fountain,2.25,44
fox,0.63,41
franchise,0.53,30
freezer,-0.03,31
friend,4.6,43
frog,0.92,12
frost,-0.09,11
frown,-4.17,12
fruit,2.67,12
fugitive,-2.71,31
fun,4.91,32
funeral,-5.47,32
fur,0.44,41
furnace,-0.25,12
furniture,0.78,40
gait,0.03,31
galaxy,1.54,13
gallant,1.43,30
gallery,1.55,11
garden,2.65,31
garlic,-0.46,13
gasp,-1.44,32
gate,-0.1,30
gavel,-1.28,29
gazelle,0.9,30
gecko,0.32,31
geese,0.74,43
gem,3.16,45
geography,0.87,31
giant,-0.08,12
gift,3.69,13
gin,0.5,12
girl,3.46,13
gist,0.43,30
glacier,1,13
glass,0.91,11
glove,0.62,13
glut,-1.78,32
goal,3.55,11
goat,0,13
goldfish,2.2,30
golf,1.29,41
golfer,1.58,31
gong,0.1,31
goof,1.69,29
gorilla,0.52,31
gossip,-2.87,31
gown,2.58,12
grape,1.92,12
grass,1,12
gratitude,3.5,30
grave,-4.17,12
gravel,-0.5,12
gravity,0.7,30
gravy,1,13
greed,-4.39,33
grenade,-3.94,32
grief,-4.47,30
grievance,-3.3,30
grizzly,-1.39,31
groan,-2.53,30
groundhog,0.55,29
growl,-2.25,32
grunt,-1.48,31
guilt,-3.75,32
gum,1.06,31
gun,-3.33,42
gunshot,-4.39,28
gut,-2.12,32
hailstorm,-2.23,31
hair,1.19,42
hairbrush,0.71,28
hairpin,0.67,12
hall,0.08,12
ham,0.18,44
hammer,-1.38,13
hamster,1,32
hand,0.74,43
handler,-0.25,32
handshake,2.13,31
hardware,-0.02,43
harmonica,1.4,30
harp,1.85,41
harvest,1.77,13
hat,0.46,13
hatchet,-1.33,33
hawk,0.44,43
hay,0.29,41
head,0.92,12
heart,3.33,12
hedge,0.25,12
heel,-0.33,12
heir,0.97,29
helmet,-1.08,12
hen,0,41
heredity,0.67,30
heresy,-2.06,32
hero,4.35,31
heroin,-3.92,13
heroism,4.17,30
hierarchy,-0.73,30
hill,1.25,12
hint,1.87,31
hockey,1.84,43
hoe,-0.47,30
hog,-0.03,31
holiday,4.73,41
home,4.5,40
honey,2.54,41
honeymoon,4.48,42
hoof,0.31,13
hoot,0.43,28
hope,4.43,30
horn,-0.14,44
horse,1.7,43
hose,0.5,42
hospital,-2.55,38
hotel,2.25,12
hound,1.83,12
house,2.73,11
housefly,-2.16,31
hurricane,-3.88,43
hut,-0.08,12
hygiene,1.65,31
hymn,0.58,31
hypnotic,-0.1,29
ice,0.4,40
iguana,0.73,33
illusion,0.3,30
immensity,-0.03,31
immunity,1.73,30
impetus,-1.1,29
inanimate,-0.67,30
inanity,-0.81,31
incense,0.83,12
increment,0,31
indolence,-1.23,31
inebriety,-0.86,29
infant,2.77,13
infantry,-0.81,31
inferno,-2.55,31
infinity,1.32,31
injury,-3.73,11
ink,-0.04,46
inn,1.67,12
innocence,2.45,31
insect,-2.33,12
insolence,-2.53,32
insult,-3.78,32
intellect,3.27,30
interim,-0.45,31
intestate,-0.18,28
intruder,-4.45,29
invader,-3.63,30
ire,-0.48,29
iron,-0.83,12
irony,0.54,28
island,3.58,12
ivy,0.1,41
jacket,0.58,12
jaguar,2.16,31
jail,-4.17,12
jam,1.07,40
jar,0.18,11
jargon,-0.63,27
jaw,-0.52,44
jealousy,-4.45,31
jeep,1.92,12
jeer,-2.2,30
jelly,1.27,11
jeopardy,-0.07,28
jet,1.05,40
jewel,3.08,13
jockey,0.08,12
jogger,2.13,31
joke,3.5,32
jolt,-1.16,32
joviality,3.04,28
joy,5.19,31
judge,-0.33,12
juggler,1.61,31
juice,2.92,12
jungle,2,31
jury,-0.82,11
kennel,-2.17,12
ketchup,1.17,30
kettle,0.09,11
key,1,43
keyboard,0.79,29
kick,-1.31,13
kid,3.27,30
killer,-5.55,29
kin,2.16,32
king,2.02,43
kiss,4.64,42
kitchen,1.59,29
kite,2.22,41
kitten,1.75,12
knee,-0.33,12
knife,-2.58,12
knight,0.64,11
knob,-0.18,11
knowledge,3.83,30
lacrosse,0.76,29
lag,-1.61,31
lake,4.08,12
lamb,1.33,12
lament,-1.81,31
lamp,0.62,13
land,1.58,12
landslide,-2.73,30
lantern,0.92,12
lark,0.42,12
laud,0.27,30
laughter,4.95,43
laundry,-1.36,11
lava,-1.68,31
law,0.32,31
lawn,0.82,11
leaf,0.91,11
lease,-0.83,30
leather,0.67,12
lecture,-1.91,11
lecturer,-0.95,40
leg,0.52,42
legality,-0.19,31
lemon,0.58,12
lemonade,2.56,45
lenient,1.23,31
lens,0.77,13
letter,2.75,12
levity,0.21,29
library,0.83,12
lice,-3.55,31
lid,0.09,33
lien,-0.27,30
lightbulb,0.68,31
lightning,0.02,42
limb,-0.25,12
lime,0.75,12
limited,-1.87,31
limousine,2.85,41
linen,0.55,11
lion,-0.42,12
lip,1.61,44
liquid,0.45,11
liquor,1.25,12
literal,0.52,29
liver,-1.27,11
loan,-0.73,30
lobster,0.25,12
lollipop,2.73,30
loon,1.52,31
loot,-0.08,12
luck,2.91,32
luggage,0.34,29
lunch,1.92,12
lust,1,27
lyric,2.04,28
machete,-2.1,29
machine,0.02,44
mad,-3.94,32
madness,-3.17,30
magazine,1.6,43
magician,1.77,43
majority,0.61,31
malady,-1.31,29
malice,-3.77,31
man,1.58,31
mandarin,1.1,29
mandolin,1.12,34
mansion,2.82,11
map,0.86,43
marble,1,11
market,1.42,12
marvel,2.28,32
mast,0.43,42
mastery,2.43,30
mastiff,0.5,28
